
                                       SUMMARY OF WATER BALANCE

                                                              CHANGE IN STORAGE
                               PRECIP          PLANT   ------------------------------  DEEP                     CUM.
 DAY HR  YR   PRECIP  SNOWMELT INTRCP    ET    TRANSP  CANOPY   SNOW  RESIDUE   SOIL   PERC   RUNOFF   PONDED    ET    ERROR
                 MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM
   1 24 2018    0.00    0.00    0.00    1.39    0.96    0.00    0.00    0.00  -14.26   12.74    0.00    0.00     1.4    0.13
   2 24 2018    0.00    0.00    0.00    1.34    1.08   -0.01    0.00    0.00   -1.90    0.57    0.00    0.00     2.7   -0.01
   3 24 2018    0.00    0.00    0.00    1.18    1.07    0.00    0.00    0.00   -1.32    0.13    0.00    0.00     3.9    0.00
   4 24 2018    0.00    0.00    0.00    1.05    0.92    0.00    0.00    0.00   -1.07    0.03    0.00    0.00     5.0    0.00
   5 24 2018    0.04    0.03    0.02    0.91    0.77    0.00    0.00    0.00   -0.91    0.01    0.00    0.03     5.9   -0.01
   6 24 2018    1.04    3.32    0.03    1.36    0.80    0.01    0.00    0.00   -0.74    0.01    0.00    0.27     7.2    0.14
   7 24 2018    1.92    1.59    0.00    0.85    0.10   -0.01    1.69    0.00   -0.55    0.00    0.00    0.00     8.1    0.22
   8 24 2018    0.00    0.01    0.00    0.68    0.68    0.00   -0.02    0.00   -0.67    0.00    0.00    0.00     8.8    0.00
   9 24 2018    0.13    0.00    0.05    0.93    0.87    0.00    0.06    0.00   -0.86    0.00    0.00    0.00     9.7   -0.06
  10 24 2018    2.96    0.00    0.11    1.19    0.18    0.00    1.92    0.00   -0.24    0.00    0.00    0.00    10.9    0.03
  11 24 2018    2.08    0.00    0.06    0.91    0.00    0.00    1.44    0.00   -0.22    0.00    0.00    0.00    11.8    0.00
  12 24 2018    3.88    0.00    0.02    1.45    0.00    0.00    2.56    0.00   -0.20    0.00    0.00    0.00    13.3    0.10
  13 24 2018    0.96    0.00    0.00    0.35    0.00    0.00    0.67    0.00   -0.11    0.00    0.00    0.00    13.6    0.06
  14 24 2018    0.04    0.00    0.02    0.09    0.01   -0.01    0.07    0.00   -0.06    0.00    0.00    0.00    13.7   -0.06
  15 24 2018    0.96    0.00    0.00    0.39    0.00    0.00    0.71    0.00   -0.12    0.00    0.00    0.00    14.1    0.00
  16 24 2018    0.00    0.00    0.00    0.01    0.00    0.00    0.07    0.00   -0.41    0.00    0.00    0.00    14.1    0.34
  17 24 2018    0.00    0.00    0.00    0.01    0.01    0.01   -0.01    0.00   -0.01    0.00    0.00    0.00    14.1    0.00
  18 24 2018    0.00    0.00    0.00    0.19    0.17    0.00   -0.11    0.00   -0.07    0.00    0.00    0.00    14.3   -0.01
  19 24 2018    0.00    0.00    0.00    0.48    0.47    0.00   -0.05    0.00   -0.43    0.00    0.00    0.00    14.8    0.00
  20 24 2018    0.58    0.01    0.21    0.20    0.20    0.01    0.38    0.00   -0.21    0.00    0.00    0.00    15.0    0.00
  21 24 2018   13.42    0.00    2.81    0.81    0.00    0.00   10.07    0.00   -0.06    0.00    0.00    0.00    15.8    0.00
  22 24 2018    0.04    0.00    0.01    2.83    0.00    0.00    0.03    0.00   -0.02    0.00    0.00    0.00    18.6    0.00
  23 24 2018    0.96    0.00    0.00    0.39    0.00   -0.01    0.62    0.00   -0.03    0.00    0.00    0.00    19.0   -0.01
  24 24 2018    0.00    0.00    0.00    0.02    0.01    0.00   -0.01    0.00   -0.02    0.00    0.00    0.00    19.0    0.01
