
                                       SUMMARY OF WATER BALANCE

                                                              CHANGE IN STORAGE
                               PRECIP          PLANT   ------------------------------  DEEP                     CUM.
 DAY HR  YR   PRECIP  SNOWMELT INTRCP    ET    TRANSP  CANOPY   SNOW  RESIDUE   SOIL   PERC   RUNOFF   PONDED    ET    ERROR
                 MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM
   1 24 2018    0.00    0.00    0.00    1.36    0.96    0.00    0.00    0.00   -8.83    7.47    0.00    0.00     1.4    0.00
   2 24 2018    0.00    0.00    0.00    1.27    0.99   -0.01    0.00    0.00   -2.42    0.86    0.00    0.00     2.6    0.30
   3 24 2018    0.00    0.00    0.00    0.91    0.73    0.00    0.00    0.00   -1.25    0.33    0.00    0.00     3.5    0.00
   4 24 2018    0.00    0.00    0.00    0.67    0.46    0.00    0.00    0.00   -1.15    0.17    0.00    0.00     4.2    0.31
   5 24 2018    0.04    0.03    0.02    0.71    0.54    0.00    0.00    0.00   -0.81    0.13    0.00    0.03     4.9   -0.03
   6 24 2018    1.04    3.27    0.03    1.05    0.43    0.01    0.00    0.00   -0.64    0.11    0.00    0.27     6.0    0.25
   7 24 2018    1.92    1.59    0.00    0.78    0.03   -0.01    1.66    0.00   -0.68    0.08    0.00    0.00     6.7    0.37
   8 24 2018    0.00    0.48    0.00    0.47    0.46    0.00   -0.46    0.00   -0.07    0.06    0.00    0.00     7.2   -0.01
   9 24 2018    0.13    0.77    0.05    0.81    0.72    0.00   -1.20    0.00    0.47    0.04    0.00    0.00     8.0   -0.03
  10 24 2018    2.96    1.67    0.11    1.29    0.30    0.00    1.80    0.00   -0.30    0.03    0.00    0.00     9.3    0.08
  11 24 2018    2.08    0.00    0.06    0.91    0.00    0.00    1.47    0.00   -0.25    0.02    0.00    0.00    10.2   -0.01
  12 24 2018    3.88    0.00    0.02    1.45    0.00    0.00    2.58    0.00   -0.18    0.01    0.00    0.00    11.7    0.06
  13 24 2018    0.96    0.00    0.00    0.38    0.00    0.00    0.69    0.00   -0.30    0.01    0.00    0.00    12.0    0.20
  14 24 2018    0.04    0.00    0.02    0.08    0.01   -0.01    0.08    0.00   -0.08    0.01    0.00    0.00    12.1   -0.05
  15 24 2018    0.96    0.00    0.00    0.39    0.00    0.00    0.71    0.00   -0.13    0.01    0.00    0.00    12.5    0.00
  16 24 2018    0.00    0.00    0.00    0.02    0.00    0.00    0.03    0.00   -0.57    0.00    0.00    0.00    12.5    0.53
  17 24 2018    0.00    0.00    0.00    0.01    0.01    0.01   -0.04    0.00   -0.20    0.00    0.00    0.00    12.5    0.22
  18 24 2018    0.00    0.11    0.00    0.10    0.08    0.00   -0.23    0.00    0.00    0.00    0.00    0.00    12.6    0.12
  19 24 2018    0.00    0.51    0.00    0.52    0.50    0.00   -0.54    0.00    0.02    0.00    0.00    0.00    13.2    0.00
  20 24 2018    0.58    0.49    0.21    0.36    0.36    0.01   -0.07    0.00    0.07    0.00    0.00    0.00    13.5    0.00
  21 24 2018   13.42    0.00    2.81    0.81    0.00    0.00   10.09    0.00   -0.09    0.00    0.00    0.00    14.3    0.00
  22 24 2018    0.04    0.00    0.01    2.84    0.00    0.00    0.04    0.00   -0.04    0.00    0.00    0.00    17.2    0.00
  23 24 2018    0.96    0.00    0.00    0.40    0.00   -0.01    0.64    0.00   -0.05    0.00    0.00    0.00    17.6   -0.01
  24 24 2018    0.00    0.00    0.00    0.03    0.02    0.00    0.00    0.00   -0.04    0.00    0.00    0.00    17.6    0.01
  25 24 2018    0.08    0.00    0.03    0.06    0.04    0.01    0.03    0.00   -0.04    0.00    0.00    0.00    17.7    0.00
  26 24 2018    1.92    0.00    0.00    0.77    0.00   -0.01    1.26    0.00   -0.15    0.00    0.00    0.00    18.4    0.07
  27 24 2018    0.00    0.00    0.00    0.04    0.00    0.00    0.03    0.00   -0.06    0.00    0.00    0.00    18.5   -0.01
  28 24 2018    0.00    0.00    0.00   -0.09    0.00    0.01    0.00    0.00   -0.03    0.00    0.00    0.00    18.4    0.11
  29 24 2018    0.00    0.00    0.00    0.04    0.02   -0.01   -0.02    0.00   -0.20    0.00    0.00    0.00    18.4    0.18
  30 24 2018    0.08    0.00    0.03    0.07    0.04    0.00   -0.04    0.00    0.03    0.00    0.00    0.00    18.5   -0.01
  31 24 2018    2.33    0.00    0.15    0.85    0.06    0.01    1.40    0.00   -0.02   -0.01    0.00    0.00    19.3   -0.02
  32 24 2018    9.58    0.00    0.35    3.23    0.00    0.00    6.17    0.00   -0.03   -0.01    0.00    0.00    22.6    0.01
