
                                       SUMMARY OF WATER BALANCE

                                                              CHANGE IN STORAGE
                               PRECIP          PLANT   ------------------------------  DEEP                     CUM.
 DAY HR  YR   PRECIP  SNOWMELT INTRCP    ET    TRANSP  CANOPY   SNOW  RESIDUE   SOIL   PERC   RUNOFF   PONDED    ET    ERROR
                 MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM
   1 24 2018    0.00    0.00    0.00    1.35    0.94    0.00    0.00    0.00   -1.36    0.00    0.00    0.00     1.3    0.01
   2 24 2018    0.00    0.00    0.00    1.27    1.00   -0.01    0.00    0.00   -1.26    0.00    0.00    0.00     2.6    0.00
   3 24 2018    0.00    0.00    0.00    0.87    0.71    0.00    0.00    0.00   -1.02    0.00    0.00    0.00     3.5    0.14
   4 24 2018    0.00    0.00    0.00    0.74    0.55    0.00    0.00    0.00   -0.74    0.00    0.00    0.00     4.2    0.00
   5 24 2018    0.04    0.03    0.02    0.74    0.62    0.00    0.00    0.00   -0.73    0.00    0.00    0.03     5.0   -0.01
   6 24 2018    1.04    3.32    0.03    1.22    0.66    0.01    0.00    0.00   -0.45    0.00    0.00    0.27     6.2    0.01
   7 24 2018    1.92    1.59    0.00    0.83    0.09   -0.01    1.58    0.00   -0.19    0.00    0.00    0.00     7.0    0.00
   8 24 2018    0.00    0.50    0.00    0.47    0.46    0.00   -0.51    0.00    0.04    0.00    0.00    0.00     7.5    0.00
   9 24 2018    0.13    0.56    0.05    0.65    0.59    0.00   -1.07    0.00   -0.11    0.00    0.00    0.61     8.1    0.00
  10 24 2018    2.96    1.67    0.12    1.23    0.20    0.00    1.83    0.00    0.17    0.00    0.00    0.27     9.4    0.00
  11 24 2018    2.08    0.00    0.06    0.95    0.00    0.00    1.47    0.00   -0.01    0.00    0.00    0.00    10.3    0.00
  12 24 2018    3.88    0.00    0.02    1.45    0.01    0.00    2.60    0.00   -0.13    0.00    0.00    0.00    11.8    0.00
  13 24 2018    0.96    0.00    0.00    0.38    0.00    0.00    0.70    0.00   -0.11    0.00    0.00    0.00    12.1    0.00
  14 24 2018    0.04    0.00    0.02    0.04    0.02   -0.01    0.09    0.00   -0.09    0.00    0.00    0.00    12.2    0.00
  15 24 2018    0.96    0.00    0.00    0.40    0.00    0.00    0.72    0.00   -0.14    0.00    0.00    0.00    12.6    0.00
  16 24 2018    0.00    0.00    0.00    0.02    0.01   -0.01    0.09    0.00   -0.10    0.00    0.00    0.00    12.6    0.00
  17 24 2018    0.00    0.00    0.00    0.04    0.04    0.01    0.01    0.00   -0.06    0.00    0.00    0.00    12.6    0.00
  18 24 2018    0.00    0.07    0.00    0.23    0.21    0.00   -0.16    0.00   -0.07    0.00    0.00    0.00    12.9    0.00
  19 24 2018    0.00    0.23    0.00    0.34    0.33    0.00   -0.25    0.00   -0.09    0.00    0.00    0.00    13.2    0.00
  20 24 2018    0.58    0.65    0.21    0.22    0.22    0.00   -0.22    0.00    0.37    0.00    0.00    0.00    13.4    0.00
  21 24 2018   13.42    0.00    2.79    0.83    0.00    0.00   10.10    0.00   -0.09    0.00    0.00    0.00    14.3    0.00
  22 24 2018    0.04    0.00    0.01    2.82    0.00    0.00    0.04    0.00   -0.04    0.00    0.00    0.00    17.1    0.00
  23 24 2018    0.96    0.00    0.00    0.38    0.00   -0.01    0.64    0.00   -0.04    0.00    0.00    0.00    17.5    0.00
  24 24 2018    0.00    0.00    0.00    0.06    0.04    0.00    0.01    0.00   -0.07    0.00    0.00    0.00    17.5    0.00
  25 24 2018    0.08    0.00    0.03    0.11    0.09    0.01    0.03    0.00   -0.10    0.00    0.00    0.00    17.6    0.00
  26 24 2018    1.92    0.00    0.00    0.75    0.00   -0.01    1.27    0.00   -0.16    0.00    0.00    0.00    18.4    0.10
  27 24 2018    0.00    0.00    0.00    0.03    0.00    0.00    0.04    0.00   -0.06    0.00    0.00    0.00    18.4   -0.01
  28 24 2018    0.00    0.00    0.00   -0.09    0.01    0.01    0.02    0.00   -0.07    0.00    0.00    0.00    18.3    0.14
  29 24 2018    0.00    0.00    0.00    0.07    0.04   -0.01    0.00    0.00   -0.05    0.00    0.00    0.00    18.4   -0.01
  30 24 2018    0.08    0.00    0.03    0.12    0.08    0.00   -0.03    0.00   -0.03    0.00    0.00    0.00    18.5   -0.01
  31 24 2018    2.33    0.00    0.15    0.91    0.12    0.01    1.41    0.00   -0.14    0.00    0.00    0.00    19.4    0.02
  32 24 2018    9.58    0.00    0.35    3.23    0.00    0.00    6.17    0.00   -0.04    0.00    0.00    0.00    22.7    0.02
  33 24 2018    0.13    0.00    0.04    0.49    0.05    0.00    0.07    0.00   -0.05    0.00    0.00    0.00    23.2   -0.08
  34 24 2018    3.04    0.00    0.06    1.17    0.04    0.00    1.92    0.00   -0.06    0.00    0.00    0.00    24.3    0.00
  35 24 2018    4.25    0.00    0.15    1.47    0.03    0.01    2.72    0.00   -0.04    0.00    0.00    0.00    25.8    0.00
  36 24 2018    9.58    0.00    1.26    2.32    0.00   -0.01    6.16    0.00   -0.01    0.00    0.00    0.00    28.1    0.00
  37 24 2018    0.00    0.00    0.00    1.34    0.02   -0.01   -0.03    0.00   -0.04    0.00    0.00    0.00    29.5    0.00
  38 24 2018    0.00    0.00    0.00    0.04    0.02    0.01    0.00    0.00   -0.04    0.00    0.00    0.00    29.5    0.00
  39 24 2018    0.29    0.00    0.10    0.05    0.03    0.00    0.15    0.00   -0.01    0.00    0.00    0.00    29.5    0.00
  40 24 2018    7.25    0.00    0.76    1.97    0.04    0.00    4.61    0.00   -0.12    0.00    0.00    0.00    31.5    0.13
  41 24 2018   12.50    0.00    2.77    0.98    0.00    0.00    9.54    0.00   -0.02    0.00    0.00    0.00    32.5    0.00
  42 24 2018    1.04    0.00    0.09    3.04    0.00    0.00    0.71    0.00   -0.03    0.00    0.00    0.00    35.5    0.00
  43 24 2018    1.92    0.00    0.17    0.60    0.02    0.01    1.26    0.00   -0.31    0.00    0.00    0.00    36.1    0.27
  44 24 2018    0.00    0.00    0.00    0.28    0.07    0.00   -0.03    0.00   -0.06    0.00    0.00    0.00    36.4   -0.02
  45 24 2018    0.00    0.00    0.00    0.14    0.13    0.00   -0.06    0.00   -0.12    0.00    0.00    0.00    36.5    0.04
  46 24 2018    0.00    0.00    0.00    0.14    0.04    0.00   -0.06    0.00   -0.05    0.00    0.00    0.00    36.7   -0.03
  47 24 2018    0.00    0.00    0.00    0.12    0.06    0.00   -0.02    0.00   -0.09    0.00    0.00    0.00    36.8    0.00
  48 24 2018    0.00    0.00    0.00    0.12    0.04    0.00   -0.05    0.00   -0.06    0.00    0.00    0.00    36.9    0.00
  49 24 2018    0.00    0.00    0.00    0.10    0.08    0.01   -0.08    0.00   -0.03    0.00    0.00    0.00    37.0    0.00
  50 24 2018    0.00    0.00    0.00    0.14    0.07   -0.01   -0.04    0.00   -0.08    0.00    0.00    0.00    37.2   -0.01
