
                                       SUMMARY OF WATER BALANCE

                                                              CHANGE IN STORAGE
                               PRECIP          PLANT   ------------------------------  DEEP                     CUM.
 DAY HR  YR   PRECIP  SNOWMELT INTRCP    ET    TRANSP  CANOPY   SNOW  RESIDUE   SOIL   PERC   RUNOFF   PONDED    ET    ERROR
                 MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM
  46 24 2018    0.00    0.00    0.00    0.11    0.03    0.00   -0.04    0.00   -0.05    0.00    0.00    0.00    50.3   -0.02
  47 24 2018    0.00    0.00    0.00    0.09    0.04   -0.01   -0.02    0.00   -0.07    0.00    0.00    0.00    50.4    0.01
  48 24 2018    0.00    0.00    0.00    0.08    0.03    0.00   -0.05    0.00   -0.04    0.00    0.00    0.00    50.5    0.02
  49 24 2018    0.00    0.00    0.00    0.20    0.17    0.01   -0.09    0.00   -0.11    0.00    0.00    0.00    50.7    0.00
  50 24 2018    0.00    0.00    0.00    0.15    0.06   -0.01   -0.02    0.00   -0.08    0.00    0.00    0.00    50.8   -0.03
  51 24 2018    0.00    0.00    0.00    0.07    0.00    0.00    0.01    0.00   -0.06    0.00    0.00    0.00    50.9   -0.01
  52 24 2018    0.00    0.00    0.00    0.05    0.00    0.00    0.00    0.00   -0.04    0.00    0.00    0.00    51.0   -0.01
  53 24 2018    0.25    0.00    0.13    0.06    0.00    0.00    0.09    0.00   -0.03    0.00    0.00    0.00    51.0    0.01
  54 24 2018    5.79    0.00    1.18    1.87    0.00    0.00    2.90    0.00   -0.17    0.00    0.00    0.00    52.9    0.15
  55 24 2018    1.00    0.00    0.02    1.68    0.00    0.00    0.50    0.00   -0.03    0.00    0.00    0.00    54.6    0.01
  56 24 2018    0.96    0.00    0.00    0.56    0.00    0.00    0.45    0.00   -0.03    0.00    0.00    0.00    55.1    0.00
  57 24 2018    0.00    0.00    0.00    0.07    0.01    0.00   -0.04    0.00   -0.10    0.00    0.00    0.00    55.2    0.08
  58 24 2018    0.04    0.00    0.02    0.03    0.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    55.2    0.00
  59 24 2018    0.96    0.00    0.09    0.43    0.00    0.01    0.47    0.00   -0.37    0.00    0.00    0.00    55.7    0.36
  60 24 2018    0.00    0.00    0.00    0.13    0.03    0.00   -0.04    0.00    0.00    0.00    0.00    0.00    55.8    0.01
  61 24 2018    0.00    0.16    0.00    0.23    0.12    0.00   -0.26    0.00    0.12    0.00    0.00    0.00    56.0   -0.07
  62 24 2018    0.00    2.39    0.00    0.96    0.91    0.00   -2.44    0.00    1.52    0.00    0.00    0.00    57.0   -0.03
  63 24 2018    0.00    2.77    0.00    1.48    1.32    0.00   -2.89    0.00    1.44    0.00    0.00    0.00    58.4   -0.03
  64 24 2018    0.08    0.00    0.04    0.17    0.00    0.00   -0.06    0.00   -0.06    0.00    0.00    0.00    58.6   -0.02
  65 24 2018    1.92    0.00    0.00    1.19    0.00    0.00    0.81    0.00   -0.47    0.00    0.00    0.00    59.8    0.43
  66 24 2018    0.00    0.00    0.00    0.10    0.05    0.00   -0.04    0.00   -0.04    0.00    0.00    0.00    59.9   -0.01
  67 24 2018    0.17    0.34    0.08    0.71    0.68    0.01   -0.34    0.00   -0.29    0.00    0.00    0.00    60.6    0.00
  68 24 2018    3.88    0.29    0.26    1.85    0.02    0.01    1.55    0.00    0.17    0.00    0.00    0.00    62.4    0.14
  69 24 2018    0.96    0.00    0.00    0.77    0.01   -0.01    0.47    0.00   -0.26    0.00    0.00    0.00    63.2    0.25
  70 24 2018    0.00    0.10    0.00    0.31    0.27    0.00   -0.16    0.00   -0.13    0.00    0.00    0.00    63.5   -0.01
  71 24 2018    0.00    0.03    0.00    0.18    0.14    0.00   -0.10    0.00   -0.07    0.00    0.00    0.00    63.7   -0.01
  72 24 2018    0.00    1.28    0.00    0.63    0.58    0.00   -1.32    0.00    0.72    0.00    0.00    0.00    64.3   -0.04
  73 24 2018    0.08    7.49    0.04    1.55    1.53    0.00   -7.46    0.00    5.95    0.00    0.00    0.00    65.9    0.00
