
                                       SUMMARY OF WATER BALANCE

                                                              CHANGE IN STORAGE
                               PRECIP          PLANT   ------------------------------  DEEP                     CUM.
 DAY HR  YR   PRECIP  SNOWMELT INTRCP    ET    TRANSP  CANOPY   SNOW  RESIDUE   SOIL   PERC   RUNOFF   PONDED    ET    ERROR
                 MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM
   1 24 2018    0.00    0.00    0.00    1.27    0.90    0.00    0.00    0.00  -11.66   10.35    0.00    0.00     1.3    0.04
   2 24 2018    0.00    0.00    0.00    1.22    0.96   -0.01    0.00    0.00   -2.43    0.75    0.00    0.00     2.5    0.46
   3 24 2018    0.00    0.00    0.00    0.92    0.73    0.00    0.00    0.00   -1.16    0.24    0.00    0.00     3.4    0.00
   4 24 2018    0.00    0.00    0.00    0.67    0.47    0.00    0.00    0.00   -0.77    0.09    0.00    0.00     4.1    0.00
   5 24 2018    0.04    0.03    0.02    0.71    0.53    0.00    0.00    0.00   -0.76    0.07    0.00    0.03     4.8   -0.03
   6 24 2018    1.04    3.32    0.03    0.92    0.29    0.01    0.00    0.00   -0.44    0.06    0.00    0.27     5.7    0.23
   7 24 2018    1.92    1.59    0.00    0.81    0.06   -0.01    1.66    0.00   -0.66    0.04    0.00    0.00     6.5    0.37
   8 24 2018    0.00    0.42    0.00    0.50    0.49    0.00   -0.41    0.00   -0.12    0.02    0.00    0.00     7.0    0.00
   9 24 2018    0.13    0.84    0.05    0.74    0.67    0.00   -1.26    0.00    0.58    0.01    0.00    0.00     7.8    0.00
  10 24 2018    2.96    1.67    0.11    1.30    0.30    0.00    1.80    0.00   -0.28    0.01    0.00    0.00     9.1    0.07
  11 24 2018    2.08    0.00    0.06    0.91    0.00    0.00    1.47    0.00   -0.25    0.00    0.00    0.00    10.0   -0.01
  12 24 2018    3.88    0.00    0.02    1.44    0.00    0.00    2.59    0.00   -0.30    0.00    0.00    0.00    11.4    0.18
  13 24 2018    0.96    0.00    0.00    0.37    0.00    0.00    0.70    0.00   -0.25    0.00    0.00    0.00    11.8    0.16
  14 24 2018    0.04    0.00    0.02    0.08    0.01   -0.01    0.08    0.00   -0.11    0.00    0.00    0.00    11.9   -0.02
  15 24 2018    0.96    0.00    0.00    0.40    0.00    0.00    0.73    0.00   -0.14    0.00    0.00    0.00    12.3    0.00
  16 24 2018    0.00    0.00    0.00    0.02    0.01    0.00    0.08    0.00   -0.99    0.00    0.00    0.00    12.3    0.91
  17 24 2018    0.00    0.00    0.00    0.01    0.02    0.01    0.00    0.00   -0.03    0.00    0.00    0.00    12.3    0.00
  18 24 2018    0.00    0.08    0.00    0.09    0.07    0.00   -0.18    0.00    0.09    0.00    0.00    0.00    12.4   -0.01
  19 24 2018    0.00    0.18    0.00    0.26    0.25    0.00   -0.21    0.00   -0.04    0.00    0.00    0.00    12.6    0.00
  20 24 2018    0.58    0.60    0.21    0.39    0.40    0.01   -0.18    0.00    0.15    0.00    0.00    0.00    13.0    0.00
  21 24 2018   13.42    0.00    2.81    0.81    0.00    0.00   10.08    0.00   -0.08    0.00    0.00    0.00    13.8    0.00
  22 24 2018    0.04    0.00    0.01    2.83    0.00    0.00    0.04    0.00   -0.03    0.00    0.00    0.00    16.7    0.00
  23 24 2018    0.96    0.00    0.00    0.39    0.00   -0.01    0.64    0.00   -0.04    0.00    0.00    0.00    17.1   -0.01
  24 24 2018    0.00    0.00    0.00    0.02    0.02    0.00    0.01    0.00   -0.04    0.00    0.00    0.00    17.1    0.01
  25 24 2018    0.08    0.00    0.03    0.06    0.04    0.01    0.03    0.00   -0.04    0.00    0.00    0.00    17.2    0.00
  26 24 2018    1.92    0.00    0.00    0.76    0.00   -0.01    1.26    0.00   -0.13    0.00    0.00    0.00    17.9    0.06
  27 24 2018    0.00    0.00    0.00    0.05    0.00    0.00    0.02    0.00   -0.06    0.00    0.00    0.00    18.0   -0.02
  28 24 2018    0.00    0.00    0.00   -0.09    0.00    0.01    0.01    0.00   -0.12    0.00    0.00    0.00    17.9    0.20
  29 24 2018    0.00    0.00    0.00    0.04    0.02   -0.01   -0.01    0.00   -0.01    0.00    0.00    0.00    17.9   -0.01
  30 24 2018    0.08    0.00    0.03    0.06    0.03    0.00   -0.03    0.00    0.02    0.00    0.00    0.00    18.0   -0.01
  31 24 2018    2.33    0.00    0.15    0.81    0.03    0.01    1.41    0.00   -0.01    0.00    0.00    0.00    18.8   -0.01
