
                                       SUMMARY OF WATER BALANCE

                                                              CHANGE IN STORAGE
                               PRECIP          PLANT   ------------------------------  DEEP                     CUM.
 DAY HR  YR   PRECIP  SNOWMELT INTRCP    ET    TRANSP  CANOPY   SNOW  RESIDUE   SOIL   PERC   RUNOFF   PONDED    ET    ERROR
                 MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM
   1 24 2018    0.00    0.00    0.00    1.73    1.22    0.00    0.00    0.00  -12.11   10.19    0.00    0.00     1.7    0.19
   2 24 2018    0.00    0.00    0.00    1.26    0.85   -0.01    0.00    0.00   -2.00    0.76    0.00    0.00     3.0   -0.02
   3 24 2018    0.00    0.00    0.00    0.49    0.40    0.00    0.00    0.00   -0.77    0.26    0.00    0.00     3.5    0.02
   4 24 2018    0.00    0.00    0.00    0.50    0.32    0.00    0.00    0.00   -0.98    0.10    0.00    0.00     4.0    0.39
   5 24 2018    0.04    0.02    0.02    0.61    0.46    0.00    0.00    0.00   -0.65    0.07    0.00    0.02     4.6   -0.03
   6 24 2018    1.04    2.52    0.05    1.14    0.50    0.01    0.00    0.00   -0.44    0.06    0.00    0.22     5.7    0.05
   7 24 2018    1.92    2.26    0.00    1.15    0.13   -0.01    1.39    0.00   -0.55    0.04    0.00    0.00     6.9    0.15
   8 24 2018    0.00    0.15    0.00    0.34    0.33    0.00   -0.13    0.00   -0.23    0.02    0.00    0.00     7.2    0.00
   9 24 2018    0.13    0.71    0.06    0.66    0.62    0.00   -0.60    0.00    0.02    0.01    0.00    0.00     7.9   -0.04
  10 24 2018    2.96    0.06    0.20    1.37    0.11    0.00    1.56    0.00   -0.13    0.01    0.00    0.00     9.2    0.02
  11 24 2018    2.08    0.00    0.08    1.19    0.00    0.00    1.23    0.00   -0.23    0.00    0.00    0.00    10.4    0.00
  12 24 2018    3.88    0.00    0.02    1.89    0.00    0.00    2.15    0.00   -0.20    0.00    0.00    0.00    12.3    0.10
  13 24 2018    0.96    0.00    0.00    0.48    0.00    0.00    0.58    0.00   -0.28    0.00    0.00    0.00    12.8    0.19
  14 24 2018    0.04    0.00    0.02    0.07    0.01   -0.01    0.09    0.00   -0.08    0.00    0.00    0.00    12.9   -0.05
  15 24 2018    0.96    0.00    0.00    0.49    0.00    0.00    0.63    0.00   -0.14    0.00    0.00    0.00    13.4    0.00
  16 24 2018    0.00    0.00    0.00    0.02    0.00   -0.01    0.05    0.00   -0.25    0.00    0.00    0.00    13.4    0.19
  17 24 2018    0.00    0.00    0.00    0.01    0.01    0.01   -0.03    0.00   -0.50    0.00    0.00    0.00    13.4    0.51
  18 24 2018    0.00    0.09    0.00    0.11    0.08    0.00   -0.20    0.00    0.10    0.00    0.00    0.00    13.5   -0.01
  19 24 2018    0.00    0.80    0.00    0.76    0.75    0.00   -0.81    0.00    0.05    0.00    0.00    0.00    14.3    0.00
  20 24 2018    0.58    0.26    0.27    0.27    0.26    0.01    0.08    0.00   -0.04    0.00    0.00    0.00    14.5    0.00
  21 24 2018   13.42    0.00    2.81    0.81    0.00    0.00   10.15    0.00   -0.09    0.00    0.00    0.00    15.3    0.00
  22 24 2018    0.04    0.00    0.02    2.83    0.00    0.00    0.04    0.00   -0.03    0.00    0.00    0.00    18.2    0.00
  23 24 2018    0.96    0.00    0.00    0.50    0.00   -0.01    0.54    0.00   -0.05    0.00    0.00    0.00    18.7   -0.01
  24 24 2018    0.00    0.00    0.00    0.02    0.01    0.00    0.01    0.00   -0.05    0.00    0.00    0.00    18.7    0.02
  25 24 2018    0.08    0.00    0.04    0.04    0.03    0.01    0.03    0.00   -0.03    0.00    0.00    0.00    18.7    0.00
  26 24 2018    1.92    0.00    0.00    0.98    0.00   -0.01    1.06    0.00   -0.13    0.00    0.00    0.00    19.7    0.05
  27 24 2018    0.00    0.00    0.00    0.00    0.00    0.00    0.06    0.00   -0.06    0.00    0.00    0.00    19.7    0.00
  28 24 2018    0.00    0.00    0.00   -0.07    0.00    0.01    0.01    0.00   -0.04    0.00    0.00    0.00    19.6    0.10
  29 24 2018    0.00    0.00    0.00    0.04    0.02   -0.01   -0.02    0.00    0.00    0.00    0.00    0.00    19.7   -0.01
  30 24 2018    0.08    0.00    0.04    0.07    0.03    0.00   -0.02    0.00    0.01    0.00    0.00    0.00    19.8   -0.01
  31 24 2018    2.33    0.00    0.19    1.00    0.02    0.01    1.15    0.00    0.04    0.00    0.00    0.00    20.7   -0.01
  32 24 2018    9.58    0.00    1.37    3.29    0.00    0.00    5.15    0.00   -0.03    0.00    0.00    0.00    24.0    0.00
  33 24 2018    0.13    0.00    0.06    1.45    0.01    0.00    0.07    0.00   -0.02    0.00    0.00    0.00    25.5   -0.07
  34 24 2018    3.04    0.00    0.08    1.52    0.01    0.00    1.57    0.00   -0.11    0.00    0.00    0.00    27.0    0.05
  35 24 2018    4.25    0.00    0.19    1.87    0.01    0.01    2.25    0.00   -0.15    0.00    0.00    0.00    28.9    0.16
  36 24 2018    9.58    0.00    2.29    2.36    0.00   -0.01    5.16    0.00   -0.01    0.00    0.00    0.00    31.2   -0.01
  37 24 2018    0.00    0.00    0.00    2.34    0.00   -0.01    0.00    0.00   -0.03    0.00    0.00    0.00    33.6   -0.01
  38 24 2018    0.00    0.00    0.00    0.06    0.01    0.01   -0.04    0.00   -0.04    0.00    0.00    0.00    33.6    0.02
  39 24 2018    0.29    0.00    0.13    0.07    0.02    0.00    0.15    0.00   -0.02    0.00    0.00    0.00    33.7   -0.04
  40 24 2018    7.25    0.00    1.07    2.43    0.01    0.00    3.85    0.00   -0.02    0.00    0.00    0.00    36.1    0.06
  41 24 2018   12.50    0.00    2.78    0.99    0.00    0.00    9.84    0.00   -0.03    0.00    0.00    0.00    37.1   -0.01
  42 24 2018    1.04    0.00    0.19    3.05    0.00    0.00    0.61    0.00   -0.03    0.00    0.00    0.00    40.2    0.00
  43 24 2018    1.92    0.00    0.24    0.83    0.00    0.01    1.07    0.00   -0.20    0.00    0.00    0.00    41.0    0.18
  44 24 2018    0.00    0.00    0.00    0.29    0.02    0.00   -0.01    0.00   -0.06    0.00    0.00    0.00    41.3    0.03
  45 24 2018    0.00    0.00    0.00    0.02    0.04    0.00   -0.01    0.00   -0.04    0.00    0.00    0.00    41.3    0.04
  46 24 2018    0.00    0.00    0.00    0.13    0.01    0.00   -0.06    0.00   -0.03    0.00    0.00    0.00    41.4   -0.03
  47 24 2018    0.00    0.00    0.00    0.08    0.02    0.00   -0.02    0.00   -0.05    0.00    0.00    0.00    41.5    0.00
  48 24 2018    0.00    0.00    0.00    0.08    0.01    0.00   -0.05    0.00   -0.04    0.00    0.00    0.00    41.6    0.01
  49 24 2018    0.00    0.00    0.00    0.04    0.03    0.01   -0.02    0.00   -0.07    0.00    0.00    0.00    41.6    0.05
  50 24 2018    0.00    0.00    0.00    0.10    0.02   -0.01   -0.05    0.00   -0.03    0.00    0.00    0.00    41.8   -0.01
  51 24 2018    0.00    0.00    0.00    0.06    0.00    0.00    0.00    0.00   -0.05    0.00    0.00    0.00    41.8    0.00
  52 24 2018    0.00    0.00    0.00    0.05    0.00    0.00    0.00    0.00   -0.04    0.00    0.00    0.00    41.9   -0.01
  53 24 2018    0.25    0.00    0.12    0.07    0.00    0.00    0.09    0.00   -0.03    0.00    0.00    0.00    41.9    0.00
  54 24 2018    5.79    0.00    1.07    1.76    0.00    0.00    3.13    0.00   -0.06    0.00    0.00    0.00    43.7    0.01
  55 24 2018    1.00    0.00    0.02    1.53    0.00    0.00    0.55    0.00   -0.03    0.00    0.00    0.00    45.2    0.00
  56 24 2018    0.96    0.00    0.00    0.51    0.00    0.00    0.50    0.00   -0.02    0.00    0.00    0.00    45.7    0.00
  57 24 2018    0.00    0.00    0.00    0.04    0.00    0.00   -0.01    0.00   -0.02    0.00    0.00    0.00    45.8   -0.01
  58 24 2018    0.04    0.00    0.02    0.01    0.01    0.00    0.02    0.00   -0.01   -0.01    0.00    0.00    45.8    0.00
  59 24 2018    0.96    0.00    0.09    0.37    0.00    0.01    0.53    0.00   -0.41   -0.01    0.00    0.00    46.1    0.41
  60 24 2018    0.00    0.00    0.00    0.10    0.01    0.00   -0.03    0.00    0.01   -0.01    0.00    0.00    46.2    0.00
  61 24 2018    0.00    0.00    0.00    0.10    0.03    0.00   -0.07    0.00    0.03   -0.01    0.00    0.00    46.3   -0.05
  62 24 2018    0.00    0.07    0.00    0.13    0.11    0.00   -0.15    0.00    0.03   -0.01    0.00    0.00    46.5   -0.01
  63 24 2018    0.00    1.06    0.00    0.58    0.47    0.00   -1.19    0.00    0.63   -0.01    0.00    0.00    47.1   -0.01
  64 24 2018    0.08    0.00    0.04    0.14    0.00    0.00   -0.04    0.00   -0.05   -0.01    0.00    0.00    47.2    0.00
  65 24 2018    1.92    0.00    0.00    1.04    0.00    0.00    0.97    0.00   -0.58   -0.01    0.00    0.00    48.2    0.54
  66 24 2018    0.00    0.00    0.00    0.05    0.00    0.00   -0.03    0.00   -0.02   -0.01    0.00    0.00    48.3    0.00
  67 24 2018    0.17    0.00    0.08    0.01    0.02    0.01    0.06    0.00   -0.27   -0.01    0.00    0.00    48.3    0.29
  68 24 2018    3.88    0.00    0.24    1.68    0.02    0.01    2.02    0.00   -0.16   -0.01    0.00    0.00    50.0    0.17
  69 24 2018    0.96    0.00    0.00    0.70    0.00   -0.01    0.52    0.00   -0.17   -0.01    0.00    0.00    50.7    0.17
