
                                       SUMMARY OF WATER BALANCE

                                                              CHANGE IN STORAGE
                               PRECIP          PLANT   ------------------------------  DEEP                     CUM.
 DAY HR  YR   PRECIP  SNOWMELT INTRCP    ET    TRANSP  CANOPY   SNOW  RESIDUE   SOIL   PERC   RUNOFF   PONDED    ET    ERROR
                 MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM
   1 24 2018    0.00    0.00    0.00    1.20    0.00    0.00    0.00    0.00  -11.56   10.23    0.00    0.00     1.2    0.13
   2 24 2018    0.00    0.00    0.00    1.32    0.00    0.00    0.00    0.00   -2.06    0.74    0.00    0.00     2.5    0.00
   3 24 2018    0.00    0.00    0.00    0.88    0.00    0.00    0.00    0.00   -1.07    0.19    0.00    0.00     3.4    0.00
   4 24 2018    0.00    0.00    0.00    0.44    0.00    0.00    0.00    0.00   -0.54    0.09    0.00    0.00     3.9    0.00
   5 24 2018    0.04    0.04    0.00    0.37    0.00    0.00    0.00    0.00   -0.43    0.06    0.00    0.04     4.2    0.00
   6 24 2018    1.04    5.11    0.00    0.76    0.00    0.00    0.00    0.00   -0.14    0.03    0.00    0.43     5.0    0.00
   7 24 2018    1.92    0.00    0.00    0.35    0.00    0.00    2.24    0.00   -0.26    0.01    0.00    0.00     5.3    0.00
   8 24 2018    0.00    0.03    0.00    0.20    0.00    0.00   -0.14    0.00   -0.07    0.01    0.00    0.00     5.5    0.00
   9 24 2018    0.13    1.42    0.00    0.51    0.00    0.00   -2.10    0.00    1.72    0.00    0.00    0.00     6.0    0.00
  10 24 2018    2.96    0.75    0.00    0.17    0.00    0.00    2.76    0.00    0.04    0.00    0.00    0.00     6.2    0.00
  11 24 2018    2.08    0.00    0.00    0.29    0.00    0.00    2.01    0.00   -0.21    0.00    0.00    0.00     6.5    0.00
  12 24 2018    3.88    0.00    0.00   -0.04    0.00    0.00    4.01    0.00   -0.09    0.00    0.00    0.00     6.5    0.00
  13 24 2018    0.96    0.00    0.00    0.07    0.00    0.00    0.95    0.00   -0.07    0.00    0.00    0.00     6.5    0.00
  14 24 2018    0.04    0.00    0.00    0.27    0.00    0.00   -0.14    0.00   -0.08    0.00    0.00    0.00     6.8    0.00
  15 24 2018    0.96    0.00    0.00    0.04    0.00    0.00    1.05    0.00   -0.13    0.00    0.00    0.00     6.8    0.00
  16 24 2018    0.00    0.00    0.00    0.05    0.00    0.00    0.05    0.00   -0.10    0.00    0.00    0.00     6.9    0.00
  17 24 2018    0.00    0.00    0.00    0.17    0.00    0.00   -0.13    0.00   -0.04    0.00    0.00    0.00     7.1    0.00
  18 24 2018    0.00    0.00    0.00    0.48    0.00    0.00   -0.51    0.00    0.03    0.00    0.00    0.00     7.5    0.00
  19 24 2018    0.00    0.00    0.00    0.27    0.00    0.00   -0.25    0.00   -0.02    0.00    0.00    0.00     7.8    0.00
  20 24 2018    0.58    0.00    0.00    0.02    0.00    0.00    0.62    0.00   -0.05    0.00    0.00    0.00     7.8    0.00
  21 24 2018   13.42    0.00    0.00    0.00    0.00    0.00   13.47    0.00   -0.05    0.00    0.00    0.00     7.8    0.00
  22 24 2018    0.04    0.00    0.00    0.39    0.00    0.00   -0.33    0.00   -0.02    0.00    0.00    0.00     8.2    0.00
  23 24 2018    0.96    0.00    0.00    0.20    0.00    0.00    0.78    0.00   -0.02    0.00    0.00    0.00     8.4    0.00
  24 24 2018    0.00    0.00    0.00    0.47    0.00    0.00   -0.46    0.00   -0.01    0.00    0.00    0.00     8.9    0.00
  25 24 2018    0.08    0.00    0.00    0.23    0.00    0.00   -0.13    0.00   -0.01    0.00    0.00    0.00     9.1    0.00
  26 24 2018    1.92    0.00    0.00    0.11    0.00    0.00    1.85    0.00   -0.04    0.00    0.00    0.00     9.2    0.00
  27 24 2018    0.00    0.00    0.00    0.29    0.00    0.00   -0.25    0.00   -0.04    0.00    0.00    0.00     9.5    0.00
  28 24 2018    0.00    0.00    0.00    0.21    0.00    0.00   -0.19    0.00   -0.02    0.00    0.00    0.00     9.7    0.00
  29 24 2018    0.00    0.00    0.00    0.13    0.00    0.00   -0.11    0.00   -0.02    0.00    0.00    0.00     9.9    0.00
  30 24 2018    0.08    0.00    0.00    0.82    0.00    0.00   -0.75    0.00    0.01    0.00    0.00    0.00    10.7    0.00
  31 24 2018    2.33    0.00    0.00    0.44    0.00    0.00    1.88    0.00    0.02    0.00    0.00    0.00    11.1    0.00
  32 24 2018    9.58    0.00    0.00    0.05    0.00    0.00    9.56    0.00   -0.02    0.00    0.00    0.00    11.2    0.00
  33 24 2018    0.13    0.00    0.00    0.20    0.00    0.00   -0.07    0.00    0.00    0.00    0.00    0.00    11.4    0.00
  34 24 2018    3.04    0.00    0.00    0.18    0.00    0.00    2.86    0.00    0.00    0.00    0.00    0.00    11.6    0.00
  35 24 2018    4.25    0.00    0.00    0.16    0.00    0.00    4.09    0.00    0.00    0.00    0.00    0.00    11.7    0.00
  36 24 2018    9.58    0.00    0.00    0.05    0.00    0.00    9.54    0.00    0.00    0.00    0.00    0.00    11.8    0.00
  37 24 2018    0.00    0.00    0.00    0.12    0.00    0.00   -0.10    0.00   -0.01    0.00    0.00    0.00    11.9    0.00
  38 24 2018    0.00    0.00    0.00    0.22    0.00    0.00   -0.20    0.00   -0.02    0.00    0.00    0.00    12.1    0.00
  39 24 2018    0.29    0.00    0.00    0.51    0.00    0.00   -0.20    0.00    0.00    0.00    0.00    0.00    12.6    0.00
  40 24 2018    7.25    0.00    0.00    0.21    0.00    0.00    7.03    0.00    0.01    0.00    0.00    0.00    12.8    0.00
  41 24 2018   12.50    0.00    0.00    0.01    0.00    0.00   12.51    0.00   -0.01    0.00    0.00    0.00    12.8    0.00
  42 24 2018    1.04    0.00    0.00    0.13    0.00    0.00    0.94    0.00   -0.02    0.00    0.00    0.00    13.0    0.00
  43 24 2018    1.92    0.00    0.00    0.02    0.00    0.00    1.91    0.00   -0.02    0.00    0.00    0.00    13.0    0.00
  44 24 2018    0.00    0.00    0.00    0.26    0.00    0.00   -0.25    0.00    0.00    0.00    0.00    0.00    13.3    0.00
  45 24 2018    0.00    0.00    0.00    0.21    0.00    0.00   -0.21    0.00    0.00    0.00    0.00    0.00    13.5    0.00
  46 24 2018    0.00    0.00    0.00    0.05    0.00    0.00   -0.04    0.00   -0.01    0.00    0.00    0.00    13.5    0.00
  47 24 2018    0.00    0.00    0.00    0.37    0.00    0.00   -0.34    0.00   -0.03    0.00    0.00    0.00    13.9    0.00
  48 24 2018    0.00    0.00    0.00    0.46    0.00    0.00   -0.43    0.00   -0.02    0.00    0.00    0.00    14.4    0.00
  49 24 2018    0.00    0.00    0.00    0.81    0.00    0.00   -0.80    0.00   -0.01    0.00    0.00    0.00    15.2    0.00
  50 24 2018    0.00    0.00    0.00    0.09    0.00    0.00   -0.07    0.00   -0.02    0.00    0.00    0.00    15.3    0.00
  51 24 2018    0.00    0.00    0.00    0.06    0.00    0.00   -0.02    0.00   -0.04   -0.01    0.00    0.00    15.3    0.00
  52 24 2018    0.00    0.00    0.00    0.08    0.00    0.00   -0.04    0.00   -0.04   -0.01    0.00    0.00    15.4    0.00
  53 24 2018    0.25    0.00    0.00    0.07    0.00    0.00    0.22    0.00   -0.03   -0.01    0.00    0.00    15.5    0.00
