
                                       SUMMARY OF WATER BALANCE

                                                              CHANGE IN STORAGE
                               PRECIP          PLANT   ------------------------------  DEEP                     CUM.
 DAY HR  YR   PRECIP  SNOWMELT INTRCP    ET    TRANSP  CANOPY   SNOW  RESIDUE   SOIL   PERC   RUNOFF   PONDED    ET    ERROR
                 MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM
   1 24 2018    0.00    0.00    0.00    1.41    0.95    0.00    0.00    0.00  -16.15   14.50    0.00    0.00     1.4    0.24
   2 24 2018    0.00    0.00    0.00    1.38    1.08   -0.01    0.00    0.00   -1.88    0.52    0.00    0.00     2.8   -0.02
   3 24 2018    0.00    0.00    0.00    1.17    1.05    0.00    0.00    0.00   -1.23    0.07    0.00    0.00     4.0   -0.01
   4 24 2018    0.00    0.00    0.00    1.09    0.94    0.00    0.00    0.00   -1.07   -0.01    0.00    0.00     5.0   -0.01
   5 24 2018    0.04    0.03    0.02    0.95    0.80    0.00    0.00    0.00   -0.94    0.00    0.00    0.03     6.0   -0.01
   6 24 2018    1.04    3.32    0.03    1.55    0.97    0.02    0.00    0.00   -1.11    0.00    0.00    0.27     7.5    0.34
   7 24 2018    1.92    1.59    0.00    0.92    0.17   -0.01    1.70    0.00   -0.89    0.00    0.00    0.00     8.5    0.49
   8 24 2018    0.00    0.02    0.00    0.73    0.72    0.00   -0.01    0.00   -0.73    0.00    0.00    0.00     9.2    0.01
   9 24 2018    0.13    0.02    0.05    1.00    0.94    0.00    0.06    0.00   -0.93    0.00    0.00    0.00    10.2   -0.05
  10 24 2018    2.96    0.01    0.11    1.19    0.17    0.00    1.92    0.00   -0.22    0.00    0.00    0.00    11.4    0.00
  11 24 2018    2.08    0.00    0.06    0.92    0.00    0.00    1.45    0.00   -0.23    0.00    0.00    0.00    12.3    0.00
  12 24 2018    3.88    0.00    0.02    1.45    0.00    0.00    2.57    0.00   -0.13    0.00    0.00    0.00    13.8    0.03
  13 24 2018    0.96    0.00    0.00    0.37    0.00    0.00    0.68    0.00   -0.11    0.00    0.00    0.00    14.1    0.03
  14 24 2018    0.04    0.00    0.02    0.08    0.01   -0.01    0.07    0.00   -0.07    0.00    0.00    0.00    14.2   -0.05
  15 24 2018    0.96    0.00    0.00    0.39    0.00    0.00    0.71    0.00   -0.13    0.00    0.00    0.00    14.6    0.00
  16 24 2018    0.00    0.00    0.00    0.01    0.00    0.00    0.07    0.00   -0.41    0.00    0.00    0.00    14.6    0.33
  17 24 2018    0.00    0.00    0.00    0.01    0.01    0.01   -0.01    0.00   -0.01    0.00    0.00    0.00    14.6    0.00
  18 24 2018    0.00    0.00    0.00    0.18    0.16    0.00   -0.11    0.00   -0.07    0.00    0.00    0.00    14.8   -0.01
  19 24 2018    0.00    0.00    0.00    0.43    0.42    0.00   -0.05    0.00   -0.38    0.00    0.00    0.00    15.2    0.00
  20 24 2018    0.58    0.00    0.21    0.23    0.22    0.01    0.38    0.00   -0.24    0.00    0.00    0.00    15.5    0.00
  21 24 2018   13.42    0.00    2.81    0.81    0.00    0.00   10.06    0.00   -0.06    0.00    0.00    0.00    16.3    0.00
  22 24 2018    0.04    0.00    0.01    2.83    0.00    0.00    0.03    0.00   -0.02    0.00    0.00    0.00    19.1    0.00
  23 24 2018    0.96    0.00    0.00    0.39    0.00   -0.01    0.62    0.00   -0.03    0.00    0.00    0.00    19.5   -0.01
  24 24 2018    0.00    0.00    0.00    0.02    0.01    0.00   -0.01    0.00   -0.02    0.00    0.00    0.00    19.5    0.01
  25 24 2018    0.08    0.00    0.03    0.03    0.02    0.01    0.03    0.00   -0.01    0.00    0.00    0.00    19.5    0.00
  26 24 2018    1.92    0.00    0.00    0.75    0.00   -0.01    1.24    0.00   -0.09    0.00    0.00    0.00    20.3    0.05
  27 24 2018    0.00    0.00    0.00    0.03    0.00    0.00    0.02    0.00   -0.04    0.00    0.00    0.00    20.3   -0.01
  28 24 2018    0.00    0.00    0.00   -0.10    0.00    0.01    0.01    0.00   -0.02    0.00    0.00    0.00    20.2    0.11
  29 24 2018    0.00    0.00    0.00    0.03    0.01   -0.01   -0.01    0.00   -0.01    0.00    0.00    0.00    20.2    0.00
  30 24 2018    0.08    0.00    0.03    0.06    0.04    0.00   -0.01    0.00    0.00    0.00    0.00    0.00    20.3    0.00
  31 24 2018    2.33    0.00    0.15    0.82    0.04    0.01    1.42    0.00    0.00    0.00    0.00    0.00    21.1   -0.03
  32 24 2018    9.58    0.00    0.36    3.23    0.00    0.00    6.16    0.00   -0.02    0.00    0.00    0.00    24.4    0.00
  33 24 2018    0.13    0.00    0.04    0.46    0.01    0.00    0.06    0.00   -0.01    0.00    0.00    0.00    24.8   -0.08
  34 24 2018    3.04    0.00    0.06    1.09    0.01    0.00    1.92    0.00   -0.14    0.00    0.00    0.00    25.9    0.17
  35 24 2018    4.25    0.00    0.15    1.45    0.00    0.01    2.72    0.00   -0.22    0.00    0.00    0.00    27.4    0.20
  36 24 2018    9.58    0.00    1.29    2.31    0.00   -0.01    6.17    0.00   -0.01    0.00    0.00    0.00    29.7   -0.02
  37 24 2018    0.00    0.00    0.00    1.35    0.01   -0.01   -0.02    0.00   -0.02    0.00    0.00    0.00    31.0   -0.01
  38 24 2018    0.00    0.00    0.00   -0.01    0.01    0.01   -0.01    0.00   -0.03    0.00    0.00    0.00    31.0    0.04
  39 24 2018    0.29    0.00    0.10    0.05    0.02    0.00    0.17    0.00   -0.01    0.00    0.00    0.00    31.0   -0.01
  40 24 2018    7.25    0.00    0.77    1.94    0.02    0.00    4.64    0.00   -0.05    0.00    0.00    0.00    33.0    0.06
  41 24 2018   12.50    0.00    2.77    0.98    0.00    0.00    9.56    0.00   -0.02    0.00    0.00    0.00    34.0   -0.01
  42 24 2018    1.04    0.00    0.10    3.03    0.00    0.00    0.71    0.00   -0.02    0.00    0.00    0.00    37.0    0.00
  43 24 2018    1.92    0.00    0.17    0.60    0.00    0.01    1.26    0.00   -0.29    0.00    0.00    0.00    37.6    0.27
  44 24 2018    0.00    0.00    0.00    0.22    0.02    0.00   -0.01    0.00   -0.02    0.00    0.00    0.00    37.8   -0.02
  45 24 2018    0.00    0.00    0.00    0.04    0.03    0.00   -0.05    0.00   -0.03    0.00    0.00    0.00    37.8    0.04
  46 24 2018    0.00    0.00    0.00    0.11    0.01    0.00   -0.05    0.00   -0.02    0.00    0.00    0.00    38.0   -0.03
  47 24 2018    0.00    0.00    0.00    0.06    0.01    0.00   -0.02    0.00   -0.04    0.00    0.00    0.00    38.0    0.00
  48 24 2018    0.00    0.00    0.00    0.08    0.01    0.00   -0.05    0.00   -0.03    0.00    0.00    0.00    38.1    0.00
  49 24 2018    0.00    0.00    0.00    0.04    0.02    0.01   -0.05    0.00    0.00    0.00    0.00    0.00    38.1    0.00
  50 24 2018    0.00    0.00    0.00    0.08    0.02   -0.01   -0.04    0.00   -0.03    0.00    0.00    0.00    38.2   -0.01
  51 24 2018    0.00    0.00    0.00    0.06    0.00    0.00    0.00    0.00   -0.05    0.00    0.00    0.00    38.3    0.00
  52 24 2018    0.00    0.00    0.00    0.05    0.00    0.00    0.00    0.00   -0.04    0.00    0.00    0.00    38.3   -0.01
  53 24 2018    0.25    0.00    0.09    0.06    0.00    0.00    0.13    0.00   -0.03    0.00    0.00    0.00    38.4    0.00
  54 24 2018    5.79    0.00    0.81    1.35    0.00    0.00    3.76    0.00   -0.14    0.00    0.00    0.00    39.8    0.10
  55 24 2018    1.00    0.00    0.01    1.19    0.00    0.00    0.64    0.00   -0.03    0.00    0.00    0.00    40.9    0.00
  56 24 2018    0.96    0.00    0.00    0.40    0.00    0.00    0.60    0.00   -0.02    0.00    0.00    0.00    41.3    0.00
  57 24 2018    0.00    0.00    0.00    0.05    0.00    0.00   -0.02    0.00   -0.03    0.00    0.00    0.00    41.4    0.00
  58 24 2018    0.04    0.00    0.01    0.01    0.01    0.00    0.02    0.00    0.00    0.00    0.00    0.00    41.4    0.00
  59 24 2018    0.96    0.00    0.06    0.29    0.00    0.01    0.62    0.00   -0.45    0.00    0.00    0.00    41.7    0.44
  60 24 2018    0.00    0.00    0.00    0.06    0.01    0.00   -0.01    0.00    0.00    0.00    0.00    0.00    41.7    0.01
  61 24 2018    0.00    0.00    0.00    0.11    0.05    0.00   -0.08    0.00    0.02    0.00    0.00    0.00    41.9   -0.05
  62 24 2018    0.00    0.06    0.00    0.26    0.24    0.00   -0.15    0.00   -0.10    0.00    0.00    0.00    42.1   -0.01
  63 24 2018    0.00    0.57    0.00    0.55    0.46    0.00   -0.69    0.00    0.16    0.00    0.00    0.00    42.7   -0.01
  64 24 2018    0.08    0.00    0.03    0.14    0.00    0.00   -0.03    0.00   -0.06    0.00    0.00    0.00    42.8    0.00
  65 24 2018    1.92    0.00    0.00    0.85    0.00    0.00    1.15    0.00   -0.59    0.00    0.00    0.00    43.7    0.54
  66 24 2018    0.00    0.00    0.00    0.04    0.01    0.00   -0.01    0.00   -0.02    0.00    0.00    0.00    43.7   -0.01
  67 24 2018    0.17    0.00    0.06    0.01    0.02    0.01    0.08    0.00    0.00    0.00    0.00    0.00    43.7    0.01
  68 24 2018    3.88    0.00    0.18    1.31    0.03    0.01    2.45    0.00   -0.18    0.00    0.00    0.00    45.0    0.17
  69 24 2018    0.96    0.00    0.00    0.55    0.00   -0.01    0.62    0.00   -0.06    0.00    0.00    0.00    45.6    0.04
  70 24 2018    0.00    0.00    0.00    0.02    0.02    0.00   -0.01    0.00   -0.02    0.00    0.00    0.00    45.6    0.01
  71 24 2018    0.00    0.22    0.00    0.11    0.08    0.00   -0.29    0.00    0.19    0.00    0.00    0.00    45.7   -0.01
  72 24 2018    0.00    1.85    0.00    0.48    0.45    0.00   -1.91    0.00    1.45    0.00    0.00    0.00    46.2   -0.02
