
                                       SUMMARY OF WATER BALANCE

                                                              CHANGE IN STORAGE
                               PRECIP          PLANT   ------------------------------  DEEP                     CUM.
 DAY HR  YR   PRECIP  SNOWMELT INTRCP    ET    TRANSP  CANOPY   SNOW  RESIDUE   SOIL   PERC   RUNOFF   PONDED    ET    ERROR
                 MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM
   1 24 2018    0.00    0.00    0.00    1.31    0.91    0.00    0.00    0.00  -11.69   10.23    0.00    0.00     1.3    0.14
   2 24 2018    0.00    0.00    0.00    1.24    0.94   -0.01    0.00    0.00   -1.96    0.75    0.00    0.00     2.6   -0.02
   3 24 2018    0.00    0.00    0.00    0.93    0.73    0.00    0.00    0.00   -1.19    0.24    0.00    0.00     3.5    0.02
   4 24 2018    0.00    0.00    0.00    0.71    0.49    0.00    0.00    0.00   -1.13    0.09    0.00    0.00     4.2    0.32
   5 24 2018    0.04    0.03    0.01    0.69    0.50    0.00    0.00    0.00   -0.74    0.07    0.00    0.03     4.9   -0.02
   6 24 2018    1.04    3.50    0.03    0.90    0.30    0.01    0.00    0.00   -0.44    0.06    0.00    0.28     5.8    0.24
   7 24 2018    1.92    1.18    0.00    0.74    0.06   -0.01    1.77    0.00   -0.68    0.04    0.00    0.00     6.5    0.37
   8 24 2018    0.00    0.26    0.00    0.45    0.44    0.00   -0.25    0.00   -0.23    0.02    0.00    0.00     7.0    0.00
   9 24 2018    0.13    1.18    0.04    0.65    0.60    0.00   -1.52    0.00    0.97    0.01    0.00    0.00     7.6   -0.02
  10 24 2018    2.96    1.26    0.09    1.16    0.24    0.00    1.89    0.00   -0.18    0.01    0.00    0.00     8.8    0.03
  11 24 2018    2.08    0.00    0.05    0.82    0.00    0.00    1.54    0.00   -0.24    0.00    0.00    0.00     9.6    0.00
  12 24 2018    3.88    0.00    0.01    1.30    0.00    0.00    2.72    0.00   -0.20    0.00    0.00    0.00    10.9    0.09
  13 24 2018    0.96    0.00    0.00    0.32    0.00    0.00    0.73    0.00   -0.31    0.00    0.00    0.00    11.2    0.22
  14 24 2018    0.04    0.00    0.01    0.08    0.01   -0.01    0.09    0.00   -0.09    0.00    0.00    0.00    11.3   -0.05
  15 24 2018    0.96    0.00    0.00    0.36    0.00    0.00    0.75    0.00   -0.14    0.00    0.00    0.00    11.7    0.00
  16 24 2018    0.00    0.00    0.00    0.01    0.00    0.00    0.08    0.00   -0.81    0.00    0.00    0.00    11.7    0.72
  17 24 2018    0.00    0.00    0.00    0.01    0.01    0.01    0.00    0.00   -0.03    0.00    0.00    0.00    11.7    0.01
  18 24 2018    0.00    0.04    0.00    0.07    0.05    0.00   -0.14    0.00    0.00    0.00    0.00    0.00    11.7    0.07
  19 24 2018    0.00    0.26    0.00    0.29    0.27    0.00   -0.29    0.00    0.00    0.00    0.00    0.00    12.0    0.00
  20 24 2018    0.58    0.47    0.19    0.32    0.32    0.01   -0.04    0.00    0.11    0.00    0.00    0.00    12.4    0.00
  21 24 2018   13.42    0.00    2.47    0.78    0.00    0.00   10.44    0.00   -0.08    0.00    0.00    0.00    13.1    0.00
  22 24 2018    0.04    0.00    0.01    2.50    0.00    0.00    0.04    0.00   -0.03    0.00    0.00    0.00    15.6    0.00
  23 24 2018    0.96    0.00    0.00    0.35    0.00   -0.01    0.67    0.00   -0.04    0.00    0.00    0.00    16.0   -0.01
  24 24 2018    0.00    0.00    0.00    0.02    0.01    0.00    0.00    0.00   -0.06    0.00    0.00    0.00    16.0    0.04
  25 24 2018    0.08    0.00    0.03    0.04    0.03    0.01    0.04    0.00   -0.03    0.00    0.00    0.00    16.1    0.00
  26 24 2018    1.92    0.00    0.00    0.68    0.00   -0.01    1.32    0.00   -0.13    0.00    0.00    0.00    16.7    0.07
  27 24 2018    0.00    0.00    0.00    0.01    0.00    0.00    0.03    0.00   -0.05    0.00    0.00    0.00    16.7    0.01
  28 24 2018    0.00    0.00    0.00   -0.08    0.00    0.01    0.01    0.00   -0.08    0.00    0.00    0.00    16.7    0.15
  29 24 2018    0.00    0.00    0.00    0.03    0.01   -0.01    0.00    0.00   -0.02    0.00    0.00    0.00    16.7   -0.01
  30 24 2018    0.08    0.00    0.03    0.06    0.03    0.00   -0.02    0.00    0.02    0.00    0.00    0.00    16.8   -0.01
  31 24 2018    2.33    0.00    0.14    0.71    0.02    0.01    1.50    0.00    0.01    0.00    0.00    0.00    17.5    0.00
  32 24 2018    9.58    0.00    0.19    3.06    0.00    0.00    6.51    0.00   -0.03    0.00    0.00    0.00    20.5    0.00
  33 24 2018    0.13    0.00    0.04    0.27    0.02    0.00    0.07    0.00   -0.05    0.00    0.00    0.00    20.8   -0.01
  34 24 2018    3.04    0.00    0.05    1.07    0.01    0.00    2.03    0.00   -0.15    0.00    0.00    0.00    21.9    0.08
  35 24 2018    4.25    0.00    0.13    1.29    0.01    0.01    2.87    0.00   -0.24    0.00    0.00    0.00    23.2    0.25
  36 24 2018    9.58    0.00    1.06    2.18    0.00   -0.01    6.50    0.00   -0.01    0.00    0.00    0.00    25.3   -0.01
  37 24 2018    0.00    0.00    0.00    1.14    0.01   -0.01   -0.02    0.00   -0.03    0.00    0.00    0.00    26.5   -0.02
  38 24 2018    0.00    0.00    0.00    0.01    0.01    0.01    0.00    0.00   -0.03    0.00    0.00    0.00    26.5    0.02
  39 24 2018    0.29    0.00    0.09    0.05    0.02    0.00    0.18    0.00   -0.02    0.00    0.00    0.00    26.5   -0.01
  40 24 2018    7.25    0.00    0.68    1.75    0.02    0.00    4.89    0.00   -0.06    0.00    0.00    0.00    28.3    0.09
  41 24 2018   12.50    0.00    2.43    0.95    0.00    0.00    9.83    0.00   -0.02    0.00    0.00    0.00    29.2   -0.01
  42 24 2018    1.04    0.00    0.05    2.72    0.00    0.00    0.74    0.00   -0.08    0.00    0.00    0.00    32.0    0.04
  43 24 2018    1.92    0.00    0.15    0.51    0.01    0.01    1.33    0.00   -0.29    0.00    0.00    0.00    32.5    0.26
  44 24 2018    0.00    0.00    0.00    0.21    0.02    0.00   -0.01    0.00   -0.02    0.00    0.00    0.00    32.7   -0.02
  45 24 2018    0.00    0.00    0.00    0.05    0.04    0.00   -0.04    0.00   -0.04    0.00    0.00    0.00    32.7    0.03
  46 24 2018    0.00    0.00    0.00    0.10    0.01    0.00   -0.05    0.00   -0.03    0.00    0.00    0.00    32.8   -0.02
  47 24 2018    0.00    0.00    0.00    0.07    0.02   -0.01   -0.01    0.00   -0.05    0.00    0.00    0.00    32.9    0.00
  48 24 2018    0.00    0.00    0.00    0.08    0.01    0.00   -0.04    0.00   -0.04    0.00    0.00    0.00    33.0    0.01
  49 24 2018    0.00    0.00    0.00    0.04    0.03    0.01   -0.04    0.00   -0.01    0.00    0.00    0.00    33.0    0.00
  50 24 2018    0.00    0.00    0.00    0.10    0.02   -0.01   -0.04    0.00   -0.04    0.00    0.00    0.00    33.1   -0.01
  51 24 2018    0.00    0.00    0.00    0.06    0.00    0.00    0.00    0.00   -0.05    0.00    0.00    0.00    33.2    0.00
  52 24 2018    0.00    0.00    0.00    0.06    0.00    0.00    0.00    0.00   -0.04    0.00    0.00    0.00    33.2   -0.01
  53 24 2018    0.25    0.00    0.08    0.08    0.00    0.00    0.13    0.00   -0.03    0.00    0.00    0.00    33.3    0.00
  54 24 2018    5.79    0.00    0.72    1.23    0.00    0.00    3.96    0.00   -0.20    0.00    0.00    0.00    34.5    0.17
  55 24 2018    1.00    0.00    0.01    1.06    0.00    0.00    0.67    0.00   -0.02    0.00    0.00    0.00    35.6    0.00
  56 24 2018    0.96    0.00    0.00    0.37    0.00    0.00    0.63    0.00   -0.02    0.00    0.00    0.00    36.0    0.00
  57 24 2018    0.00    0.00    0.00    0.04    0.00    0.00   -0.01    0.00   -0.01    0.00    0.00    0.00    36.0   -0.01
  58 24 2018    0.04    0.00    0.01    0.02    0.01    0.00    0.02    0.00   -0.01    0.00    0.00    0.00    36.0    0.00
  59 24 2018    0.96    0.00    0.05    0.26    0.00    0.01    0.66    0.00   -0.38    0.00    0.00    0.00    36.3    0.38
  60 24 2018    0.00    0.00    0.00    0.06    0.01    0.00   -0.01    0.00   -0.05    0.00    0.00    0.00    36.3    0.05
  61 24 2018    0.00    0.00    0.00    0.09    0.02   -0.01   -0.07    0.00    0.04    0.00    0.00    0.00    36.4   -0.04
  62 24 2018    0.00    0.21    0.00    0.16    0.14    0.00   -0.29    0.00    0.15    0.00    0.00    0.00    36.6   -0.01
  63 24 2018    0.00    0.77    0.00    0.48    0.39    0.00   -0.89    0.00    0.42    0.00    0.00    0.00    37.1   -0.01
  64 24 2018    0.08    0.00    0.03    0.16    0.00    0.00   -0.04    0.00   -0.05    0.00    0.00    0.00    37.2   -0.01
  65 24 2018    1.92    0.00    0.00    0.80    0.00    0.00    1.19    0.00   -0.60    0.00    0.00    0.00    38.0    0.57
  66 24 2018    0.00    0.00    0.00    0.04    0.01    0.00   -0.02    0.00   -0.05    0.00    0.00    0.00    38.1    0.03
  67 24 2018    0.17    0.00    0.05    0.01    0.02    0.01    0.08    0.00    0.00    0.00    0.00    0.00    38.1    0.02
  68 24 2018    3.88    0.00    0.15    1.19    0.03    0.01    2.58    0.00   -0.13    0.00    0.00    0.00    39.3    0.14
  69 24 2018    0.96    0.00    0.00    0.49    0.00   -0.01    0.65    0.00   -0.13    0.00    0.00    0.00    39.8    0.12
  70 24 2018    0.00    0.00    0.00    0.02    0.02    0.00   -0.01    0.00   -0.02    0.00    0.00    0.00    39.8    0.00
  71 24 2018    0.00    0.00    0.00    0.06    0.03    0.00   -0.04    0.00   -0.01    0.00    0.00    0.00    39.8    0.00
  72 24 2018    0.00    3.20    0.00    0.56    0.53    0.00   -3.24    0.00    2.70    0.00    0.00    0.00    40.4   -0.02
  73 24 2018    0.08   10.69    0.03    1.34    1.33    0.00  -10.64    0.00    5.32    0.00    0.00    4.04    41.7    0.00
  74 24 2018    1.92    2.45    0.00    1.67    0.95    0.00   -1.22    0.00    0.19    0.00    0.00    5.36    43.4    0.00
  75 24 2018    0.00    1.43    0.00    1.46    1.08   -0.01   -1.77    0.00   -0.03    0.00    0.00    5.73    44.9   -0.01
  76 24 2018    0.21   11.48    0.07    1.37    1.33    0.00  -11.36    0.00   -0.15    0.00    0.00   16.02    46.2   -0.01
  77 24 2018    4.79    0.05    0.26    1.63    0.22    0.00    3.16    0.00   -0.19    0.00    0.00   15.94    47.9    0.09
  78 24 2018    0.04    0.00    0.01    0.51    0.16    0.00   -0.04    0.00   -0.15    0.00    0.00   15.92    48.4   -0.01
  79 24 2018    0.96    0.00    0.00    0.45    0.01    0.00    0.55    0.00   -0.09    0.00    0.00   15.91    48.8    0.08
  80 24 2018    0.04    0.18    0.01    0.79    0.79    0.01   -0.18    0.00    0.13    0.00    0.00   15.19    49.6    0.00
  81 24 2018    1.21    6.11    0.08    1.83    1.50    0.01   -5.32    0.00    0.28    0.00    0.00   19.43    51.5    0.12
  82 24 2018    5.75    9.00    0.09    2.81    0.86    0.00   -5.22    0.00    0.27    0.00    7.30   19.99    54.3    0.01
  83 24 2018    0.04    9.14    0.01    1.90    1.73   -0.01   -9.13    0.00    0.02    0.00    7.48   19.89    56.2   -0.03
  84 24 2018    1.38    7.15    0.20    2.05    1.71    0.01   -6.26    0.00    0.05    0.00    5.13   19.96    58.2    0.16
  85 24 2018    9.67    4.95    1.24    2.61    0.47   -0.01    1.58    0.00   -0.10    0.00    4.51   19.99    60.8    0.01
  86 24 2018    2.21    0.00    0.09    1.92    0.00   -0.01    1.49    0.00   -0.01    0.00    0.00   19.97    62.7   -0.01
  87 24 2018    6.79    0.00    0.64    1.73    0.05    0.01    4.57    0.00   -0.31    0.00    0.00   19.95    64.5    0.27
  88 24 2018    1.92    0.00    0.00    1.28    0.02    0.00    1.32    0.00   -0.19    0.00    0.00   19.94    65.8    0.16
  89 24 2018    0.00    0.56    0.00    0.89    0.84    0.00   -0.61    0.00   -0.30    0.00    0.50   19.50    66.6   -0.04
  90 24 2018    0.29    2.65    0.09    1.29    1.25    0.00   -2.49    0.00    0.22    0.00    0.90   19.81    67.9   -0.03
  91 24 2018    6.83    4.70    0.04    4.16    1.80   -0.01   -0.18    0.00    0.48    0.00    2.64   19.61    72.1   -0.01
  92 24 2018    2.88   13.15    0.00    4.21    3.17    0.00  -11.20    0.00    0.30    0.00    9.43   19.77    76.3    0.02
  93 24 2018    0.00    4.95    0.00    2.15    1.26   -0.01   -5.56    0.00   -0.26    0.00    3.82   19.66    78.5   -0.02
  94 24 2018    0.00    3.55    0.00    3.00    2.34    0.01   -3.49    0.00    0.15    0.00    2.02   17.96    81.4    0.01
