
                                       SUMMARY OF WATER BALANCE

                                                              CHANGE IN STORAGE
                               PRECIP          PLANT   ------------------------------  DEEP                     CUM.
 DAY HR  YR   PRECIP  SNOWMELT INTRCP    ET    TRANSP  CANOPY   SNOW  RESIDUE   SOIL   PERC   RUNOFF   PONDED    ET    ERROR
                 MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM
   1 24 2018    0.00    0.00    0.00    1.36    0.96    0.00    0.00    0.00  -11.73   10.23    0.00    0.00     1.4    0.14
   2 24 2018    0.00    0.00    0.00    1.27    1.00   -0.01    0.00    0.00   -2.32    0.76    0.00    0.00     2.6    0.30
   3 24 2018    0.00    0.00    0.00    0.92    0.74    0.00    0.00    0.00   -1.17    0.24    0.00    0.00     3.6    0.00
   4 24 2018    0.00    0.00    0.00    0.71    0.50    0.00    0.00    0.00   -0.80    0.09    0.00    0.00     4.3    0.00
   5 24 2018    0.04    0.03    0.02    0.71    0.53    0.00    0.00    0.00   -0.76    0.07    0.00    0.03     5.0   -0.03
   6 24 2018    1.04    3.32    0.03    0.95    0.33    0.01    0.00    0.00   -0.48    0.06    0.00    0.27     5.9    0.25
   7 24 2018    1.92    1.59    0.00    0.82    0.07   -0.01    1.66    0.00   -0.67    0.04    0.00    0.00     6.7    0.36
   8 24 2018    0.00    0.34    0.00    0.51    0.50    0.00   -0.33    0.00   -0.20    0.02    0.00    0.00     7.3    0.00
   9 24 2018    0.13    0.91    0.05    0.70    0.69    0.00   -1.33    0.00    0.69    0.01    0.00    0.00     8.0    0.00
  10 24 2018    2.96    1.67    0.11    1.25    0.26    0.00    1.80    0.00   -0.25    0.01    0.00    0.00     9.2    0.09
  11 24 2018    2.08    0.00    0.06    0.91    0.00    0.00    1.47    0.00   -0.24    0.00    0.00    0.00    10.1   -0.01
  12 24 2018    3.88    0.00    0.02    1.45    0.00    0.00    2.58    0.00   -0.20    0.00    0.00    0.00    11.6    0.09
  13 24 2018    0.96    0.00    0.00    0.37    0.00    0.00    0.69    0.00   -0.28    0.00    0.00    0.00    11.9    0.19
  14 24 2018    0.04    0.00    0.02    0.08    0.01   -0.01    0.08    0.00   -0.10    0.00    0.00    0.00    12.0   -0.02
  15 24 2018    0.96    0.00    0.00    0.40    0.00    0.00    0.73    0.00   -0.14    0.00    0.00    0.00    12.4    0.00
  16 24 2018    0.00    0.00    0.00    0.02    0.00    0.00    0.07    0.00   -0.82    0.00    0.00    0.00    12.4    0.74
  17 24 2018    0.00    0.00    0.00    0.01    0.01    0.01   -0.01    0.00   -0.15    0.00    0.00    0.00    12.4    0.14
  18 24 2018    0.00    0.09    0.00    0.10    0.07    0.00   -0.20    0.00    0.11    0.00    0.00    0.00    12.5   -0.01
  19 24 2018    0.00    0.45    0.00    0.37    0.36    0.00   -0.48    0.00    0.11    0.00    0.00    0.00    12.9    0.00
  20 24 2018    0.58    0.44    0.21    0.37    0.37    0.01   -0.03    0.00    0.02    0.00    0.00    0.00    13.3    0.00
  21 24 2018   13.42    0.00    2.81    0.81    0.00    0.00   10.09    0.00   -0.08    0.00    0.00    0.00    14.1    0.00
  22 24 2018    0.04    0.00    0.01    2.83    0.00    0.00    0.04    0.00   -0.03    0.00    0.00    0.00    16.9    0.00
  23 24 2018    0.96    0.00    0.00    0.40    0.00   -0.01    0.64    0.00   -0.04    0.00    0.00    0.00    17.3   -0.01
  24 24 2018    0.00    0.00    0.00    0.03    0.02    0.00    0.00    0.00   -0.06    0.00    0.00    0.00    17.3    0.04
  25 24 2018    0.08    0.00    0.03    0.06    0.04    0.01    0.03    0.00   -0.04    0.00    0.00    0.00    17.4    0.00
  26 24 2018    1.92    0.00    0.00    0.77    0.00   -0.01    1.26    0.00   -0.13    0.00    0.00    0.00    18.2    0.06
  27 24 2018    0.00    0.00    0.00    0.04    0.00    0.00    0.03    0.00   -0.06    0.00    0.00    0.00    18.2   -0.01
  28 24 2018    0.00    0.00    0.00   -0.09    0.00    0.01    0.01    0.00   -0.08    0.00    0.00    0.00    18.1    0.15
  29 24 2018    0.00    0.00    0.00    0.04    0.02   -0.01   -0.01    0.00   -0.01    0.00    0.00    0.00    18.2   -0.01
  30 24 2018    0.08    0.00    0.03    0.06    0.03    0.00   -0.03    0.00    0.02    0.00    0.00    0.00    18.2   -0.01
  31 24 2018    2.33    0.00    0.15    0.81    0.03    0.01    1.41    0.00    0.02    0.00    0.00    0.00    19.0   -0.03
  32 24 2018    9.58    0.00    0.35    3.23    0.00    0.00    6.17    0.00   -0.03    0.00    0.00    0.00    22.3    0.01
  33 24 2018    0.13    0.00    0.04    0.47    0.03    0.00    0.07    0.00   -0.02    0.00    0.00    0.00    22.7   -0.08
  34 24 2018    3.04    0.00    0.06    1.13    0.02    0.00    1.92    0.00   -0.14    0.00    0.00    0.00    23.9    0.12
  35 24 2018    4.25    0.00    0.15    1.45    0.01    0.01    2.72    0.00   -0.24    0.00    0.00    0.00    25.3    0.23
  36 24 2018    9.58    0.00    1.28    2.32    0.00   -0.01    6.17    0.00   -0.01    0.00    0.00    0.00    27.6   -0.02
  37 24 2018    0.00    0.00    0.00    1.34    0.01   -0.01   -0.02    0.00   -0.03    0.00    0.00    0.00    29.0    0.00
  38 24 2018    0.00    0.00    0.00    0.00    0.01    0.01    0.01    0.00   -0.03    0.00    0.00    0.00    29.0    0.02
  39 24 2018    0.29    0.00    0.10    0.06    0.03    0.00    0.17    0.00   -0.02    0.00    0.00    0.00    29.0   -0.01
  40 24 2018    7.25    0.00    0.77    1.94    0.02    0.00    4.63    0.00   -0.05    0.00    0.00    0.00    31.0    0.07
  41 24 2018   12.50    0.00    2.77    0.99    0.00    0.00    9.55    0.00   -0.02    0.00    0.00    0.00    32.0   -0.02
  42 24 2018    1.04    0.00    0.09    3.04    0.00    0.00    0.71    0.00   -0.03    0.00    0.00    0.00    35.0    0.00
  43 24 2018    1.92    0.00    0.17    0.59    0.01    0.01    1.27    0.00   -0.27    0.00    0.00    0.00    35.6    0.24
  44 24 2018    0.00    0.00    0.00    0.23    0.02    0.00   -0.01    0.00   -0.03    0.00    0.00    0.00    35.8   -0.01
  45 24 2018    0.00    0.00    0.00    0.06    0.05    0.00   -0.05    0.00   -0.05    0.00    0.00    0.00    35.9    0.04
  46 24 2018    0.00    0.00    0.00    0.12    0.02    0.00   -0.05    0.00   -0.03    0.00    0.00    0.00    36.0   -0.03
  47 24 2018    0.00    0.00    0.00    0.07    0.02    0.00   -0.02    0.00   -0.05    0.00    0.00    0.00    36.1    0.00
  48 24 2018    0.00    0.00    0.00    0.09    0.02    0.00   -0.05    0.00   -0.04    0.00    0.00    0.00    36.2    0.00
  49 24 2018    0.00    0.00    0.00    0.06    0.04    0.01   -0.05    0.00   -0.01    0.00    0.00    0.00    36.2    0.00
  50 24 2018    0.00    0.00    0.00    0.10    0.03   -0.01   -0.03    0.00   -0.05    0.00    0.00    0.00    36.3   -0.01
  51 24 2018    0.00    0.00    0.00    0.06    0.00    0.00    0.00    0.00   -0.06    0.00    0.00    0.00    36.4    0.00
  52 24 2018    0.00    0.00    0.00    0.05    0.00    0.00    0.00    0.00   -0.04    0.00    0.00    0.00    36.5   -0.01
  53 24 2018    0.25    0.00    0.09    0.07    0.00    0.00    0.12    0.00   -0.04    0.00    0.00    0.00    36.5    0.00
  54 24 2018    5.79    0.00    0.82    1.35    0.00    0.00    3.76    0.00   -0.18    0.00    0.00    0.00    37.9    0.14
  55 24 2018    1.00    0.00    0.01    1.19    0.00    0.00    0.64    0.00   -0.03    0.00    0.00    0.00    39.1    0.00
  56 24 2018    0.96    0.00    0.00    0.41    0.00    0.00    0.60    0.00   -0.02    0.00    0.00    0.00    39.5    0.00
  57 24 2018    0.00    0.00    0.00    0.05    0.00    0.00   -0.02    0.00   -0.01    0.00    0.00    0.00    39.5   -0.01
  58 24 2018    0.04    0.00    0.01    0.02    0.01    0.00    0.02    0.00   -0.05    0.00    0.00    0.00    39.5    0.05
  59 24 2018    0.96    0.00    0.06    0.29    0.00    0.01    0.63    0.00   -0.42    0.00    0.00    0.00    39.8    0.41
  60 24 2018    0.00    0.00    0.00    0.07    0.01    0.00   -0.01    0.00   -0.01    0.00    0.00    0.00    39.9    0.02
  61 24 2018    0.00    0.00    0.00    0.10    0.03    0.00   -0.10    0.00    0.06    0.00    0.00    0.00    40.0   -0.05
  62 24 2018    0.00    0.20    0.00    0.23    0.20    0.00   -0.30    0.00    0.09    0.00    0.00    0.00    40.2   -0.02
  63 24 2018    0.00    1.08    0.00    0.75    0.64    0.00   -1.21    0.00    0.47    0.00    0.00    0.00    41.0   -0.01
  64 24 2018    0.08    0.00    0.03    0.15    0.00    0.00   -0.04    0.00   -0.05    0.00    0.00    0.00    41.1    0.00
  65 24 2018    1.92    0.00    0.00    0.88    0.00    0.00    1.11    0.00   -0.64    0.00    0.00    0.00    42.0    0.60
  66 24 2018    0.00    0.00    0.00    0.04    0.01    0.00   -0.01    0.00   -0.05    0.00    0.00    0.00    42.0    0.03
  67 24 2018    0.17    0.00    0.06    0.05    0.05    0.01    0.07    0.00   -0.02    0.00    0.00    0.00    42.1    0.01
  68 24 2018    3.88    0.00    0.18    1.30    0.02    0.01    2.42    0.00   -0.09    0.00    0.00    0.00    43.4    0.11
  69 24 2018    0.96    0.00    0.00    0.55    0.00   -0.01    0.62    0.00   -0.17    0.00    0.00    0.00    43.9    0.16
  70 24 2018    0.00    0.00    0.00    0.04    0.03    0.00   -0.01    0.00   -0.03    0.00    0.00    0.00    44.0    0.00
  71 24 2018    0.00    0.00    0.00    0.07    0.05    0.00   -0.05    0.00   -0.01    0.00    0.00    0.00    44.0    0.00
  72 24 2018    0.00    2.80    0.00    0.67    0.64    0.00   -2.84    0.00    2.20    0.00    0.00    0.00    44.7   -0.02
  73 24 2018    0.08   10.67    0.03    1.37    1.35    0.00  -10.62    0.00    6.33    0.00    0.00    2.99    46.1   -0.01
  74 24 2018    1.92    2.14    0.00    1.82    1.04    0.00   -0.97    0.00    0.19    0.00    0.00    3.90    47.9    0.01
  75 24 2018    0.00    0.66    0.00    1.61    1.23   -0.01   -0.98    0.00   -0.10    0.00    0.00    3.41    49.5   -0.03
  76 24 2018    0.21    9.89    0.08    1.52    1.46    0.00   -9.80    0.00   -0.15    0.00    0.00   11.99    51.0   -0.02
  77 24 2018    4.79    0.13    0.31    1.85    0.32    0.00    2.89    0.00   -0.03    0.00    0.00   11.72    52.9    0.11
  78 24 2018    0.04    0.00    0.01    0.67    0.24    0.00   -0.07    0.00   -0.19    0.00    0.00   11.66    53.6   -0.01
  79 24 2018    0.96    0.00    0.00    0.50    0.01    0.00    0.49    0.00   -0.11    0.00    0.00   11.65    54.1    0.11
  80 24 2018    0.04    0.25    0.02    0.97    0.96    0.01   -0.25    0.00    0.14    0.00    0.00   10.82    55.0   -0.01
  81 24 2018    1.21    4.86    0.09    2.09    1.74    0.01   -4.10    0.00    0.20    0.00    0.00   13.68    57.1    0.10
  82 24 2018    5.75    8.17    0.11    3.12    0.96    0.00   -4.58    0.00    0.25    0.00    0.62   20.00    60.2    0.01
  83 24 2018    0.04   10.72    0.02    2.02    1.82   -0.01  -10.70    0.00    0.02    0.00    8.90   19.95    62.3   -0.03
  84 24 2018    1.38    7.01    0.22    2.22    1.86    0.01   -6.16    0.00    0.05    0.00    4.95   19.96    64.5    0.09
  85 24 2018    9.67    4.49    1.39    2.84    0.49   -0.01    1.70    0.00   -0.10    0.00    4.04   19.99    67.3    0.00
  86 24 2018    2.21    0.00    0.11    2.14    0.00   -0.01    1.42    0.00   -0.02    0.00    0.00   19.97    69.5   -0.02
  87 24 2018    6.79    0.00    0.73    1.87    0.05    0.01    4.33    0.00   -0.32    0.00    0.00   19.95    71.3    0.29
  88 24 2018    1.92    0.00    0.00    1.45    0.02    0.00    1.25    0.00   -0.16    0.00    0.00   19.94    72.8    0.13
  89 24 2018    0.00    0.60    0.00    0.96    0.93    0.00   -0.65    0.00   -0.31    0.00    0.52   19.44    73.7   -0.02
  90 24 2018    0.29    2.68    0.11    1.45    1.41    0.00   -2.52    0.00    0.23    0.00    0.72   19.79    75.2   -0.03
  91 24 2018    6.83    4.64    0.05    4.62    2.00   -0.01   -0.36    0.00    0.43    0.00    2.37   19.64    79.8    0.00
  92 24 2018    2.88   13.95    0.00    4.62    3.47    0.00  -12.09    0.00    0.31    0.00    9.94   19.76    84.4    0.01
  93 24 2018    0.00    5.01    0.00    2.22    1.40   -0.01   -5.50    0.00   -0.27    0.00    3.73   19.62    86.7   -0.02
  94 24 2018    0.00    1.40    0.00    3.50    2.58    0.01   -1.38    0.00    0.18    0.00    0.16   17.13    90.2    0.01
  95 24 2018    0.67    0.42    0.24    2.19    1.89    0.01    0.00    0.00    4.15    0.00    0.00   11.11    92.4    0.10
  96 24 2018   15.58    0.00    2.95    0.48    0.00    0.00   13.04    0.00    0.32    0.00    0.00   10.15    92.8   -0.01
  97 24 2018    6.21    2.06    2.15    2.20    0.00    0.01    2.68    0.00    0.46    0.00    0.00   11.80    95.0    0.01
  98 24 2018   10.67    2.44    1.60    4.08    0.00   -0.02    4.74    0.00    0.02    0.00    0.00   14.19    99.1   -0.01
  99 24 2018    2.88    3.33    0.00    3.82    1.18    0.00   -1.45    0.00   -0.24    0.01    0.00   16.53   102.9    0.00
 100 24 2018    0.00    4.85    0.00    2.98    2.95    0.00   -4.86    0.00   -0.40    0.01    0.00   18.83   105.9   -0.02
 101 24 2018    0.04   10.05    0.02    4.36    4.31    0.00  -10.00    0.00    0.76    0.01    4.32   19.45   110.3   -0.04
