
                                       SUMMARY OF WATER BALANCE

                                                              CHANGE IN STORAGE
                               PRECIP          PLANT   ------------------------------  DEEP                     CUM.
 DAY HR  YR   PRECIP  SNOWMELT INTRCP    ET    TRANSP  CANOPY   SNOW  RESIDUE   SOIL   PERC   RUNOFF   PONDED    ET    ERROR
                 MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM
   1 24 2018    0.00    0.00    0.00    1.07    0.74    0.00    0.00    0.00  -11.46   10.22    0.00    0.00     1.1    0.16
   2 24 2018    0.00    0.00    0.00    1.26    1.06   -0.01    0.00    0.00   -2.05    0.76    0.00    0.00     2.3    0.04
   3 24 2018    0.00    0.00    0.00    1.06    0.97    0.00    0.00    0.00   -1.32    0.25    0.00    0.00     3.4    0.01
   4 24 2018    0.00    0.00    0.00    0.62    0.49    0.00    0.00    0.00   -0.71    0.09    0.00    0.00     4.0   -0.01
   5 24 2018    0.04    0.02    0.02    0.77    0.64    0.00    0.00    0.00   -0.82    0.07    0.00    0.02     4.8   -0.02
   6 24 2018    1.04    2.11    0.07    1.16    0.46    0.01    0.00    0.00   -0.61    0.06    0.00    0.17     5.9    0.21
   7 24 2018    1.92    3.05    0.00    1.45    0.12    0.00    1.00    0.00   -0.60    0.05    0.00    0.00     7.4    0.26
   8 24 2018    0.00    0.64    0.00    0.96    0.91    0.00   -1.00    0.00    0.03    0.03    0.00    0.00     8.4   -0.02
   9 24 2018    0.13    0.00    0.07    1.68    1.52    0.00    0.00    0.00   -1.64    0.02    0.00    0.00    10.0   -0.01
  10 24 2018    2.96    4.69    0.26    1.85    0.27    0.00    0.95    0.00   -0.07    0.01    0.00    0.00    11.9    0.03
  11 24 2018    2.08    0.00    0.10    1.50    0.00    0.00    1.05    0.00   -0.30    0.01    0.00    0.00    13.4    0.00
  12 24 2018    3.88    0.00    0.02    2.35    0.01    0.00    1.69    0.00   -0.20    0.00    0.00    0.00    15.7    0.10
  13 24 2018    0.96    0.00    0.00    0.65    0.00    0.00    0.47    0.00   -0.30    0.00    0.00    0.00    16.4    0.15
  14 24 2018    0.04    0.00    0.02    0.20    0.06   -0.01    0.04    0.00   -0.11    0.00    0.00    0.00    16.6   -0.11
  15 24 2018    0.96    0.00    0.00    0.62    0.00    0.00    0.51    0.00   -0.15    0.00    0.00    0.00    17.2    0.00
  16 24 2018    0.00    0.00    0.00    0.05    0.02   -0.01    0.02    0.00   -0.11    0.00    0.00    0.00    17.3    0.05
  17 24 2018    0.00    0.00    0.00    0.11    0.10    0.01   -0.04    0.00   -0.08    0.00    0.00    0.00    17.4    0.00
  18 24 2018    0.00    0.73    0.00    0.74    0.70    0.00   -0.84    0.00    0.12    0.00    0.00    0.00    18.1   -0.02
  19 24 2018    0.00    0.82    0.00    1.18    1.14    0.00   -0.85    0.00   -0.32    0.00    0.00    0.00    19.3   -0.01
  20 24 2018    0.58    0.45    0.35    0.55    0.53    0.01   -0.16    0.00   -0.15    0.00    0.00    0.00    19.8   -0.01
  21 24 2018   13.42    0.00    5.73    1.19    0.00    0.00    6.98    0.00   -0.13    0.00    0.00    0.00    21.0    0.00
  22 24 2018    0.04    0.00    0.02    5.74    0.00    0.00    0.07    0.00   -0.06    0.00    0.00    0.00    26.8    0.00
  23 24 2018    0.96    0.00    0.00    0.65    0.00   -0.01    0.44    0.00   -0.07    0.00    0.00    0.00    27.4   -0.02
