
                                       SUMMARY OF WATER BALANCE

                                                              CHANGE IN STORAGE
                               PRECIP          PLANT   ------------------------------  DEEP                     CUM.
 DAY HR  YR   PRECIP  SNOWMELT INTRCP    ET    TRANSP  CANOPY   SNOW  RESIDUE   SOIL   PERC   RUNOFF   PONDED    ET    ERROR
                 MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM
   1 24 2018    0.00    0.00    0.00    1.62    1.16    0.00    0.00    0.00  -12.00   10.28    0.00    0.00     1.6    0.10
   2 24 2018    0.00    0.00    0.00    1.30    0.93   -0.01    0.00    0.00   -2.03    0.76    0.00    0.00     2.9   -0.02
   3 24 2018    0.00    0.00    0.00    0.75    0.58    0.00    0.00    0.00   -1.03    0.25    0.00    0.00     3.7    0.02
   4 24 2018    0.00    0.00    0.00    0.67    0.46    0.00    0.00    0.00   -0.77    0.09    0.00    0.00     4.3    0.01
   5 24 2018    0.04    0.03    0.02    0.73    0.56    0.00    0.00    0.00   -0.78    0.07    0.00    0.03     5.1   -0.02
   6 24 2018    1.04    3.21    0.03    1.12    0.50    0.01    0.00    0.00   -0.56    0.06    0.00    0.26     6.2    0.16
   7 24 2018    1.92    1.55    0.00    0.97    0.19   -0.01    1.63    0.00   -0.70    0.04    0.00    0.00     7.2    0.27
   8 24 2018    0.00    0.28    0.00    0.41    0.41    0.00   -0.27    0.00   -0.17    0.03    0.00    0.00     7.6    0.00
   9 24 2018    0.13    0.99    0.05    0.75    0.72    0.00   -1.36    0.00    0.67    0.01    0.00    0.00     8.3    0.00
  10 24 2018    2.96    1.63    0.12    1.33    0.29    0.00    1.76    0.00   -0.29    0.01    0.00    0.00     9.7    0.08
  11 24 2018    2.08    0.00    0.06    0.95    0.00    0.00    1.44    0.00   -0.25    0.00    0.00    0.00    10.6    0.00
  12 24 2018    3.88    0.00    0.02    1.52    0.00    0.00    2.51    0.00   -0.16    0.00    0.00    0.00    12.1    0.06
  13 24 2018    0.96    0.00    0.00    0.39    0.00    0.00    0.67    0.00   -0.28    0.00    0.00    0.00    12.5    0.18
  14 24 2018    0.04    0.00    0.02    0.08    0.01   -0.01    0.08    0.00   -0.13    0.00    0.00    0.00    12.6    0.00
  15 24 2018    0.96    0.00    0.00    0.41    0.00    0.00    0.72    0.00   -0.15    0.00    0.00    0.00    13.0    0.00
  16 24 2018    0.00    0.00    0.00    0.02    0.01   -0.01    0.07    0.00   -0.33    0.00    0.00    0.00    13.0    0.25
  17 24 2018    0.00    0.00    0.00    0.01    0.01    0.01   -0.01    0.00   -0.06    0.00    0.00    0.00    13.0    0.05
  18 24 2018    0.00    0.10    0.00    0.11    0.09    0.00   -0.21    0.00    0.10    0.00    0.00    0.00    13.1   -0.01
  19 24 2018    0.00    0.64    0.00    0.64    0.62    0.00   -0.65    0.00    0.02    0.00    0.00    0.00    13.8    0.00
  20 24 2018    0.58    0.47    0.22    0.38    0.37    0.01   -0.08    0.00    0.05    0.00    0.00    0.00    14.2    0.00
  21 24 2018   13.42    0.00    2.81    0.81    0.00    0.00   10.09    0.00   -0.09    0.00    0.00    0.00    15.0    0.00
  22 24 2018    0.04    0.00    0.02    2.83    0.00    0.00    0.04    0.00   -0.03    0.00    0.00    0.00    17.8    0.00
  23 24 2018    0.96    0.00    0.00    0.42    0.00   -0.01    0.62    0.00   -0.05    0.00    0.00    0.00    18.2   -0.01
  24 24 2018    0.00    0.00    0.00    0.03    0.02    0.00    0.00    0.00   -0.08    0.00    0.00    0.00    18.2    0.05
  25 24 2018    0.08    0.00    0.03    0.04    0.03    0.01    0.03    0.00   -0.07    0.00    0.00    0.00    18.3    0.04
  26 24 2018    1.92    0.00    0.00    0.80    0.00   -0.01    1.23    0.00   -0.13    0.00    0.00    0.00    19.1    0.06
  27 24 2018    0.00    0.00    0.00    0.02    0.00    0.00    0.04    0.00   -0.06    0.00    0.00    0.00    19.1    0.00
  28 24 2018    0.00    0.00    0.00   -0.09    0.00    0.01    0.01    0.00   -0.05    0.00    0.00    0.00    19.0    0.13
  29 24 2018    0.00    0.00    0.00    0.04    0.02   -0.01   -0.01    0.00   -0.01    0.00    0.00    0.00    19.1   -0.01
  30 24 2018    0.08    0.00    0.03    0.06    0.03    0.00   -0.02    0.00    0.01    0.00    0.00    0.00    19.1   -0.01
  31 24 2018    2.33    0.00    0.16    0.83    0.03    0.01    1.36    0.00    0.03    0.00    0.00    0.00    19.9   -0.02
  32 24 2018    9.58    0.00    0.49    3.26    0.00    0.00    6.01    0.00   -0.03    0.00    0.00    0.00    23.2    0.01
  33 24 2018    0.13    0.00    0.05    0.59    0.03    0.00    0.07    0.00   -0.02    0.00    0.00    0.00    23.8   -0.06
  34 24 2018    3.04    0.00    0.06    1.24    0.02    0.00    1.85    0.00   -0.14    0.00    0.00    0.00    25.0    0.08
  35 24 2018    4.25    0.00    0.16    1.50    0.01    0.01    2.64    0.00   -0.19    0.00    0.00    0.00    26.5    0.20
  36 24 2018    9.58    0.00    1.44    2.32    0.00   -0.01    6.01    0.00   -0.01    0.00    0.00    0.00    28.9   -0.01
  37 24 2018    0.00    0.00    0.00    1.51    0.01   -0.01   -0.03    0.00   -0.03    0.00    0.00    0.00    30.4    0.00
  38 24 2018    0.00    0.00    0.00    0.03    0.01    0.01   -0.02    0.00   -0.04    0.00    0.00    0.00    30.4    0.02
  39 24 2018    0.29    0.00    0.11    0.06    0.03    0.00    0.17    0.00   -0.03    0.00    0.00    0.00    30.5   -0.02
  40 24 2018    7.25    0.00    0.81    2.02    0.02    0.00    4.50    0.00   -0.05    0.00    0.00    0.00    32.5    0.08
  41 24 2018   12.50    0.00    2.77    1.01    0.00    0.00    9.60    0.00   -0.02    0.00    0.00    0.00    33.5   -0.03
  42 24 2018    1.04    0.00    0.11    3.04    0.00    0.00    0.70    0.00   -0.03    0.00    0.00    0.00    36.5    0.00
  43 24 2018    1.92    0.00    0.18    0.63    0.01    0.01    1.24    0.00   -0.26    0.00    0.00    0.00    37.2    0.23
  44 24 2018    0.00    0.00    0.00    0.24    0.03    0.00   -0.01    0.00   -0.03    0.00    0.00    0.00    37.4   -0.02
  45 24 2018    0.00    0.00    0.00    0.05    0.05    0.00   -0.04    0.00   -0.05    0.00    0.00    0.00    37.5    0.04
  46 24 2018    0.00    0.00    0.00    0.12    0.02    0.00   -0.06    0.00   -0.03    0.00    0.00    0.00    37.6   -0.03
  47 24 2018    0.00    0.00    0.00    0.07    0.02    0.00   -0.01    0.00   -0.05    0.00    0.00    0.00    37.7    0.00
  48 24 2018    0.00    0.00    0.00    0.09    0.01    0.00   -0.05    0.00   -0.04    0.00    0.00    0.00    37.8    0.00
  49 24 2018    0.00    0.00    0.00    0.06    0.04    0.01   -0.05    0.00   -0.02    0.00    0.00    0.00    37.8    0.00
  50 24 2018    0.00    0.00    0.00    0.10    0.03   -0.01   -0.04    0.00   -0.04    0.00    0.00    0.00    37.9   -0.01
  51 24 2018    0.00    0.00    0.00    0.06    0.00    0.00    0.00    0.00   -0.06    0.00    0.00    0.00    38.0    0.00
  52 24 2018    0.00    0.00    0.00    0.05    0.00    0.00    0.00    0.00   -0.04    0.00    0.00    0.00    38.0   -0.01
  53 24 2018    0.25    0.00    0.09    0.08    0.00    0.00    0.12    0.00   -0.03    0.00    0.00    0.00    38.1    0.00
  54 24 2018    5.79    0.00    0.84    1.43    0.00    0.00    3.64    0.00   -0.18    0.00    0.00    0.00    39.5    0.15
  55 24 2018    1.00    0.00    0.02    1.23    0.00    0.00    0.62    0.00   -0.02    0.00    0.00    0.00    40.8    0.00
  56 24 2018    0.96    0.00    0.00    0.42    0.00    0.00    0.58    0.00   -0.02    0.00    0.00    0.00    41.2    0.00
  57 24 2018    0.00    0.00    0.00    0.06    0.00    0.00   -0.02    0.00   -0.02    0.00    0.00    0.00    41.2   -0.01
  58 24 2018    0.04    0.00    0.02    0.01    0.01    0.00    0.02    0.00   -0.01    0.00    0.00    0.00    41.3    0.00
  59 24 2018    0.96    0.00    0.06    0.30    0.00    0.01    0.61    0.00   -0.41    0.00    0.00    0.00    41.6    0.41
  60 24 2018    0.00    0.00    0.00    0.07    0.01    0.00   -0.02    0.00   -0.02    0.00    0.00    0.00    41.6    0.03
  61 24 2018    0.00    0.01    0.00    0.12    0.05    0.00   -0.10    0.00    0.04    0.00    0.00    0.00    41.8   -0.05
  62 24 2018    0.00    0.55    0.00    0.28    0.25    0.00   -0.63    0.00    0.36   -0.01    0.00    0.00    42.0   -0.01
  63 24 2018    0.00    2.09    0.00    0.82    0.72    0.00   -2.20    0.00    1.38   -0.01    0.00    0.00    42.9    0.00
  64 24 2018    0.08    0.00    0.03    0.16    0.00    0.00   -0.04    0.00   -0.06   -0.01    0.00    0.00    43.0   -0.01
  65 24 2018    1.92    0.00    0.00    0.86    0.00    0.00    1.13    0.00   -0.48   -0.01    0.00    0.00    43.9    0.44
  66 24 2018    0.00    0.00    0.00    0.03    0.01    0.00    0.00    0.00   -0.02    0.00    0.00    0.00    43.9   -0.01
  67 24 2018    0.17    0.00    0.06    0.03    0.04    0.01    0.07    0.00   -0.01    0.00    0.00    0.00    43.9    0.01
  68 24 2018    3.88    0.00    0.19    1.41    0.06    0.01    2.36    0.00   -0.20    0.00    0.00    0.00    45.3    0.17
  69 24 2018    0.96    0.00    0.00    0.58    0.00   -0.01    0.60    0.00   -0.19    0.00    0.00    0.00    45.9    0.17
  70 24 2018    0.00    0.00    0.00    0.05    0.04    0.00   -0.02    0.00   -0.03    0.00    0.00    0.00    46.0    0.00
  71 24 2018    0.00    0.00    0.00    0.09    0.06    0.00   -0.04    0.00   -0.04    0.00    0.00    0.00    46.1    0.00
  72 24 2018    0.00    0.59    0.00    0.40    0.37    0.00   -0.64    0.00    0.27    0.00    0.00    0.00    46.5   -0.02
  73 24 2018    0.08    9.77    0.03    1.21    1.19    0.00   -9.73    0.00    6.25    0.00    0.00    2.33    47.7   -0.01
  74 24 2018    1.92    2.63    0.00    1.87    1.05    0.00   -1.49    0.00    0.18    0.00    0.00    3.72    49.5    0.00
  75 24 2018    0.00    1.71    0.00    1.50    1.09   -0.01   -2.06    0.00   -0.04    0.00    0.00    4.38    51.0   -0.03
  76 24 2018    0.21   10.53    0.08    1.42    1.37    0.00  -10.42    0.00   -0.09    0.00    0.00   13.62    52.5   -0.01
  77 24 2018    4.79    0.31    0.34    1.90    0.33    0.00    2.64    0.00   -0.03    0.00    0.00   13.55    54.4    0.09
  78 24 2018    0.04    0.00    0.02    0.64    0.18    0.00   -0.05    0.00   -0.15    0.00    0.00   13.50    55.0   -0.02
  79 24 2018    0.96    0.00    0.00    0.51    0.01    0.00    0.48    0.00   -0.02    0.00    0.00   13.49    55.5    0.01
  80 24 2018    0.04    0.32    0.02    1.00    0.99    0.01   -0.32    0.00    0.06    0.00    0.00   12.80    56.5   -0.01
  81 24 2018    1.21    3.07    0.09    2.03    1.67    0.01   -2.34    0.00    0.14    0.00    0.00   14.00    58.5    0.10
  82 24 2018    5.75    9.03    0.12    3.19    0.95    0.00   -5.53    0.00    0.23    0.00    1.85   20.00    61.7    0.01
  83 24 2018    0.04   11.36    0.02    2.02    1.82   -0.01  -11.34    0.00    0.05    0.00    9.52   19.94    63.8   -0.03
  84 24 2018    1.38    8.30    0.24    2.34    1.96    0.01   -7.46    0.00    0.06    0.00    6.12   19.96    66.1    0.07
  85 24 2018    9.67    5.71    1.46    2.98    0.51   -0.01    0.36    0.00   -0.13    0.00    5.22   19.99    69.1    0.00
  86 24 2018    2.21    0.00    0.11    2.24    0.00   -0.01    1.43    0.00   -0.06    0.00    0.00   19.97    71.3   -0.02
  87 24 2018    6.79    0.00    0.78    1.96    0.05    0.01    4.24    0.00   -0.28    0.00    0.00   19.95    73.3    0.21
  88 24 2018    1.92    0.00    0.00    1.54    0.02    0.00    1.24    0.00   -0.16    0.00    0.00   19.94    74.8    0.10
  89 24 2018    0.00    0.36    0.00    0.75    0.72    0.00   -0.42    0.00   -0.29    0.00    0.29   19.62    75.6   -0.02
  90 24 2018    0.29    2.86    0.11    1.49    1.45    0.00   -2.72    0.00    0.15    0.00    1.14   19.77    77.0   -0.03
  91 24 2018    6.83    4.38    0.05    4.56    1.87   -0.01   -0.20    0.00    0.40    0.00    2.23   19.68    81.6    0.02
